"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
-1,"cent vs mage",0.12778429073857,109,660,84,0,264,1.78744813517345,0.132243886036018,0.243147046762509,1.41178359525339,0.465282714194437,0.562161991977023,0.328190043627931,0.53962102372397,0.965651665453693,2.48030153454033,2.15340914571847,0.369510759894257
-1,"eld vs kin",0.337868480725624,149,232,58,2,676,0.85503363875404,0.103995997733467,0.0952669450226033,1.08572466274089,0.447684588132917,0.441548947406268,0.749587091039645,0.745110609687913,0.982369450835101,1.5729574088063,1.55531638172868,0.140031618530763
-0.9,"cent vs mage",0.146739130434783,108,543,85,0,381,1.48237339682886,0.12487592133629,0.251740780680672,1.30148108204825,0.447978029300809,0.580927805325926,0.354313559258077,0.607150347401812,0.951587353921481,2.22447799657726,1.81304929856483,0.450033409329475
-0.9,"eld vs kin",0.385964912280702,154,190,55,0,718,0.712020234668208,0.0971522252086604,0.100553687500847,0.999901298953043,0.427279812740428,0.449787823527489,0.761766828129715,0.790677907650265,0.98151611222803,1.40660988967939,1.34998298755307,0.1429708726663
-0.8,"cent vs mage",0.186813186813187,119,438,80,0,480,1.29899835273009,0.127354429748746,0.261723673002482,1.20776680750998,0.457604962961636,0.587901824081848,0.430033410910969,0.683744794042004,0.943070249029672,1.98860826421902,1.54079485951258,0.481578733253811
-0.8,"eld vs kin",0.444759206798867,157,146,49,1,764,0.59193832798747,0.101627088858384,0.100756466417604,0.903311459150658,0.424950387265693,0.447704877560668,0.829707099253727,0.858399110371523,0.994536782443969,1.1812530435245,1.0789342830361,0.154169244738
-0.7,"cent vs mage",0.209705372616984,121,384,72,0,540,1.19505832323202,0.123418969530156,0.25408112786172,1.1558709485681,0.444939129191352,0.577422435794619,0.475899032297558,0.715178022561801,0.945540779428699,1.83592664684733,1.39222275279156,0.471455561997512
-0.7,"eld vs kin",0.504531722054381,167,122,42,0,786,0.489536876997589,0.0940494128761968,0.093347053926966,0.807333629204762,0.425786566379225,0.430643008967125,0.836116168791828,0.837915950473936,0.995185447721478,1.05336268595041,1.03241931240352,0.119309202883537
-0.6,"cent vs mage",0.277185501066098,130,275,64,0,648,0.947220769858021,0.124692752100509,0.261344793621937,1.01392731343733,0.459551742143638,0.589079560081125,0.568938692518718,0.786888031969996,0.947715406084675,1.55043977598648,1.1047670963765,0.471161252441686
-0.6,"eld vs kin",0.55663430420712,172,98,39,0,808,0.404894652686282,0.0930921298964334,0.0980583529316102,0.752888808096535,0.429041423305599,0.44077510414158,0.898509280232851,0.887582768638544,0.982004483106528,0.876395357964533,0.846016434259184,0.146869247284519
-0.5,"cent vs mage",0.305555555555556,132,236,64,0,685,0.840219274190557,0.123211353974469,0.261723979103388,0.974212742033382,0.457245870544581,0.57137376249731,0.611605698034761,0.820816561568503,0.943202442016307,1.41302074405905,0.947274403782889,0.490572131053157
-0.5,"eld vs kin",0.616197183098592,175,71,38,0,833,0.294445775909278,0.0986564091306107,0.0982281453746468,0.640548690814591,0.446101553977991,0.438268184734907,0.913079461735468,0.929603942944081,0.993489545828122,0.731914525341589,0.645604274420418,0.157100915101794
-0.4,"cent vs mage",0.367875647668394,142,194,50,0,731,0.667497940706148,0.12791035693638,0.267005748346912,0.860940190720619,0.451660787082432,0.58681172678233,0.724301889850315,0.909658768479005,0.933679560031444,1.16211580273438,0.67637872067996,0.498209651757723
-0.4,"eld vs kin",0.698841698841699,181,46,31,1,858,0.222059135224499,0.0958074201386803,0.09271829031864,0.584578232478241,0.428872437931745,0.441955466765445,0.946681163721142,0.950939434557544,0.996323249984246,0.542094716685411,0.506172661156049,0.116917489790672
-0.3,"cent vs mage",0.40974212034384,143,154,52,0,768,0.543210288810782,0.112039663660552,0.252985693342554,0.775428411442686,0.427547678807127,0.575993186427693,0.76008309432859,0.915255055040232,0.945118500773086,1.0521706306993,0.58631454702585,0.479107878615191
-0.3,"eld vs kin",0.73015873015873,184,40,28,0,865,0.176007305586723,0.0970558158773753,0.0963437098722465,0.530077040577008,0.439080117392906,0.450448661600262,0.956940215187655,0.966912875861402,0.993932877609873,0.443266307469701,0.353771872511164,0.147495413000384
-0.2,"cent vs mage",0.461538461538462,144,120,48,0,805,0.431585607064018,0.118894716487194,0.237107294060078,0.714708864200216,0.450267570574303,0.552194617319694,0.844476406054864,0.954957780283453,0.956546922122154,0.815452490603667,0.401915612181298,0.424655085366075
-0.2,"eld vs kin",0.780590717299578,185,30,21,1,880,0.135026471425099,0.0967517275296336,0.0944308367875824,0.49213438596215,0.428863238073277,0.433788243015752,0.970120112894452,0.990325514910438,0.981160107393202,0.336194886307971,0.23051930239554,0.173994316721825
-0.1,"cent vs mage",0.517361111111111,149,92,46,1,829,0.348982000850869,0.128820133008562,0.2753993671493,0.651778710576807,0.466552943734002,0.593166286694521,0.892140340232099,0.985847062919024,0.939998790187975,0.676100292523469,0.19441767385007,0.506027499318091
-0.1,"eld vs kin",0.845814977973568,192,16,18,1,890,0.113762074694606,0.0945131684835571,0.0946588928033804,0.447206726540509,0.42345470166259,0.438215263208557,0.978586133103772,0.980213227187968,0.995067677312157,0.225876738818687,0.168378663957082,0.129163618729136
