asv	SRR3679926	SRR3679927	SRR3679928	SRR3679929	SRR3679930	SRR3679931	SRR3679932	SRR3679933	SRR3679934	SRR3679935	SRR3679936	SRR3679937	SRR3679938	SRR3679939	SRR3679940	SRR3679941	SRR3679942	SRR3679943	SRR3679944	SRR3679945	SRR3679946	SRR3679947	SRR3679948	SRR3679949	SRR3679950	SRR3679951	SRR3679952	SRR3679953	SRR3679954	SRR3679955	SRR3679956	SRR3679957	SRR3679958	SRR3679959	SRR3679960	SRR3679961	SRR3679962	SRR3679963	SRR3679964	SRR3679965	SRR3679966	SRR3679967	SRR3679968	SRR3679969	SRR3679970	SRR3679971	SRR3679972	SRR3679973	SRR3679974	SRR3679975	SRR3679976	SRR3679977	SRR3679978	SRR3679979	SRR3679980	SRR3679981	SRR3679982	SRR3679983	SRR3679984	SRR3679985	SRR3679986	SRR3679987	SRR3679988	SRR3679989	SRR3679990	SRR3679991	SRR3679992	SRR3679993	SRR3679994	SRR3679995	SRR3679996	SRR3679997	SRR3679998	SRR3679999	SRR3680000	SRR3680001	SRR3680002	SRR3680003	SRR3680004	SRR3680005	SRR3680006	SRR3680007	SRR3680008	SRR3680009	SRR3680010	SRR3680011	SRR3680012	SRR3680013	SRR3680014	SRR3680015	SRR3680016	SRR3680017	SRR3680018	SRR3680019	SRR3680020	SRR3680021	SRR3680022	SRR3680023	SRR3680024	SRR3680025	SRR3680026	SRR3680027	SRR3680028	SRR3680029	SRR3680030	SRR3680031	SRR3680032	SRR3680033	SRR3680034	SRR3680035	SRR3680036	SRR3680037	SRR3680038	SRR3680039	SRR3680040	SRR3680041	SRR3680042	SRR3680043	SRR3680044	SRR3680045	SRR3680046	SRR3680047	SRR3680048	SRR3680049	SRR3680050	SRR3680051	SRR3680052	SRR3680053	SRR3680054	SRR3680055	SRR3680056	SRR3680057	SRR3680058	SRR3680059	SRR3680060	SRR3680061	SRR3680062	SRR3680063	SRR3680064	SRR3680065	SRR3680066	SRR3680067	SRR3680068	SRR3680069	SRR3680070	SRR3680071	SRR3680072	SRR3680073	SRR3680074	SRR3680075	SRR3680076	SRR3680077	SRR3680078	SRR3680079	SRR3680080	SRR3680081	SRR3680082	SRR3680083	SRR3680084	SRR3680085	SRR3680086	SRR3680087	SRR3680088	SRR3680089	SRR3680090	SRR3680091	SRR3680092	SRR3680093
SV_11	1087	252	69	0	721	0	0	568	719	321	262	707	0	285	213	0	63	0	0	0	0	592	0	0	0	0	455	0	659	154	0	0	0	218	0	79	0	0	29	0	0	127	0	37	2230	796	0	0	1415	274	0	0	188	0	380	0	441	0	91	1518	0	0	46	468	105	0	670	59	0	233	115	0	0	0	132	32	0	17	984	326	0	100	0	44	54	273	31	4634	0	818	0	149	0	37	0	194	0	0	0	34	66	0	33	225	0	0	0	0	0	0	230	87	283	0	26	73	256	36	26	501	115	763	0	172	0	575	22	0	0	28	34	0	0	0	0	863	337	144	621	520	295	0	478	5	14	13	385	0	0	0	511	131	0	201	59	743	0	18	20	51	359	26	0	0	27	189	316	0
SV_12	0	0	0	80	0	1216	290	0	0	113	0	28	113	0	0	0	0	0	365	0	3010	224	0	600	0	0	1130	0	0	47	0	0	0	0	0	0	0	1154	119	0	0	0	0	0	0	108	9	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	55	24	315	0	29	0	0	0	0	0	0	0	17	0	0	115	0	0	6	2009	32	0	0	167	0	0	0	4	5967	0	0	83	0	0	0	0	22	263	0	0	0	0	0	296	0	0	0	0	0	0	223	0	312	0	0	0	682	45	434	0	0	3	0	0	240	0	0	69	0	0	1108	654	0	213	0	6491	0	0	0	0	0	0	0	405	0	417	0	0	0	0	0	121	0	31	0	0	0	0	31	0	0	0	8	0	0
SV_13	0	0	0	1494	0	0	3460	0	0	122	0	0	366	71	906	0	248	15	548	0	0	0	0	0	0	0	44	0	0	1458	694	349	0	1487	0	46	0	0	88	345	128	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	54	0	0	0	0	308	0	184	0	0	0	0	179	590	0	0	0	0	0	8	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	1819	0	1639	0	0	286	0	0	0	0	9	0	0	0	541	893	476	0	0	0	0	0	0	0	0	0	0	0	144	1139	0	0	0	0	0	0	0	0	3336	0	2031	0	0	0	0	748	0	0	0	1747	0	0	0	0	0	0	26	0	625	0
SV_14	134	58	202	0	424	207	319	0	673	0	449	20	53	0	166	0	208	0	20	0	0	35	393	78	0	224	39	0	279	0	0	22	209	40	0	29	0	0	376	78	252	0	493	0	540	125	27	539	0	0	150	822	0	150	60	37	41	1286	301	793	0	0	195	765	0	1631	91	0	609	0	274	998	89	298	0	52	0	290	236	17	0	0	0	0	0	225	0	62	0	0	590	576	0	12	8	340	331	0	0	65	0	274	544	0	0	49	0	0	0	1047	0	25	79	353	278	27	341	105	90	0	112	0	0	0	0	0	114	0	99	0	0	287	0	14	0	73	239	153	0	72	544	1070	97	95	0	0	39	262	140	175	136	0	0	0	687	244	826	0	0	0	0	103	0	195	353	0	0	105
SV_15	0	0	0	256	606	652	2501	90	0	220	455	585	0	0	428	0	0	0	461	470	0	511	0	0	0	0	193	0	178	0	0	0	577	0	0	0	0	0	91	0	0	494	0	0	0	504	0	0	403	366	0	0	0	0	0	0	349	0	252	0	0	0	75	759	0	0	765	0	0	0	68	0	0	0	0	0	0	0	1661	104	0	0	0	578	373	168	0	0	0	479	839	1251	0	93	0	113	0	0	0	0	419	0	0	157	106	0	0	0	0	0	245	0	523	0	239	0	327	2569	0	0	122	0	375	99	0	80	0	0	0	0	0	0	0	1257	170	404	0	313	240	160	457	0	0	0	0	0	260	0	477	0	0	0	0	120	464	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_16	221	78	92	0	214	89	49	0	49	100	63	106	35	11	0	0	195	0	0	0	0	179	548	0	0	0	390	0	181	36	0	34	445	39	0	0	209	0	65	13	58	0	0	138	85	0	86	0	0	284	0	0	0	26	0	0	84	0	522	0	0	0	44	137	0	0	0	75	0	0	22	0	52	0	31	305	0	92	1255	34	0	2148	224	49	28	91	0	0	0	545	0	242	0	0	0	137	0	0	0	0	71	0	36	31	32	0	68	0	0	0	0	122	0	0	0	12	1007	0	0	0	154	261	273	54	235	0	131	0	0	0	0	860	0	33	135	65	83	12	584	22	211	0	410	0	0	0	47	0	123	84	154	2300	0	68	242	24	1087	18	108	227	0	10	0	0	205	1361	46	3653
SV_17	0	321	0	110	0	237	756	203	0	116	174	126	0	337	933	0	231	0	107	638	0	237	0	0	0	53	128	0	0	315	0	591	0	300	0	0	0	0	0	0	141	596	0	140	248	241	0	0	510	0	0	0	0	0	358	0	312	0	0	0	0	0	0	655	0	0	0	273	0	268	0	0	0	0	212	381	0	0	2055	234	0	124	0	0	445	533	79	0	0	0	837	0	0	0	0	88	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	246	91	361	0	0	406	193	0	108	0	297	0	529	0	0	416	0	0	0	0	121	374	55	366	162	0	0	0	0	0	0	0	350	0	0	0	0	0	1232	0	256	61	75	1392	111	641	0	224	0	0	61	0	144	460
SV_18	0	58	0	44	0	93	656	0	117	0	268	33	0	0	0	97	30	0	0	0	0	0	0	0	0	0	57	0	173	0	0	0	0	0	0	0	17	128	96	48	0	0	2121	0	324	62	96	239	15	42	35	219	57	194	0	91	21	0	97	0	0	0	37	242	0	69	428	39	9	0	76	0	0	43	48	0	0	0	0	49	33	0	39	0	0	0	153	44	0	0	0	427	0	0	0	73	0	0	0	38	0	0	601	231	0	145	0	0	50	0	0	0	159	145	310	85	147	850	73	0	87	0	37	0	0	307	800	0	260	0	35	0	0	84	0	0	76	56	390	0	226	1976	78	0	6101	0	0	0	124	39	0	0	0	0	76	115	88	0	227	98	684	72	0	168	39	0	0	234
SV_19	816	223	0	68	116	101	1710	236	207	337	0	72	49	97	36	0	514	0	0	0	0	243	0	0	0	298	0	0	0	21	78	50	0	48	353	0	515	0	586	17	284	495	0	82	0	312	301	0	848	288	0	19	0	0	103	0	297	0	954	0	0	0	0	282	50	0	0	459	0	58	0	8	0	0	34	94	0	782	361	56	0	191	40	0	31	0	12	0	0	416	0	445	242	96	0	301	0	0	0	13	11	0	80	285	214	0	16	0	0	67	27	0	202	0	0	24	0	0	0	0	227	13	0	33	0	17	0	0	0	18	0	0	0	169	62	60	75	44	0	28	0	0	323	146	0	0	699	23	119	53	24	445	0	0	0	0	174	212	1410	227	110	119	0	0	30	206	396	0
SV_20	591	0	0	0	131	371	1854	0	113	16	205	0	0	0	224	0	14	0	194	0	0	10	60	0	0	0	158	0	6	77	0	5	107	154	0	48	43	113	540	122	0	0	359	0	118	727	1289	519	18	0	306	205	177	0	0	0	0	0	149	440	0	0	80	463	0	864	263	447	0	4	308	26	24	40	0	84	17	320	121	36	0	10	0	48	0	15	0	284	0	0	0	181	0	0	0	115	0	0	0	0	808	22	0	0	0	0	0	0	0	173	17	0	0	252	0	825	154	0	0	0	185	0	39	86	40	606	0	0	0	0	150	0	0	6	127	0	1092	51	0	0	0	0	384	7	0	80	106	0	730	0	83	0	0	103	287	71	136	0	0	110	0	114	0	0	514	20	0	0
