asv	DRR095587	DRR095588	DRR095589	DRR095590	DRR095591	DRR095592	DRR095593	DRR095594	DRR095595	DRR095596	DRR095597	DRR095598	DRR095599	DRR095600	DRR095601	DRR095602	DRR095603	DRR095604	DRR095605	DRR095606	DRR095607	DRR095608	DRR095609	DRR095610	DRR095611	DRR095612	DRR095613	DRR095614	DRR095615	DRR095616	DRR095617	DRR095618	DRR095619	DRR095620	DRR095621	DRR095622	DRR095623	DRR095624	DRR095625	DRR095626	DRR095627	DRR095628	DRR095629	DRR095630	DRR095631	DRR095632	DRR095633	DRR095634	DRR095635	DRR095636	DRR095637	DRR095638	DRR095639	DRR095640	DRR095641	DRR095642	DRR095643	DRR095644	DRR095645	DRR095646	DRR095647	DRR095648	DRR095649	DRR095650	DRR095651	DRR095652	DRR095653	DRR095654	DRR095655	DRR095656	DRR095657	DRR095658	DRR095659	DRR095660	DRR095661	DRR095662	DRR095663	DRR095664	DRR095665	DRR095666	DRR095667	DRR095668	DRR095669	DRR095670	DRR095671	DRR095672	DRR095673	DRR095674	DRR095675	DRR095676	DRR095677	DRR095678	DRR095679	DRR095680	DRR095681	DRR095682	DRR095683	DRR095684	DRR095685	DRR095686	DRR095687	DRR095688	DRR095689	DRR095690	DRR095691	DRR095692	DRR095693	DRR095694	DRR095695	DRR095696	DRR095697	DRR095698	DRR095699	DRR095700	DRR095701	DRR095702	DRR095703	DRR095704	DRR095705	DRR095706
SV_11	0	122	0	0	75	0	29	0	0	0	0	0	224	0	0	0	0	0	0	0	0	44	0	0	0	90	25	0	0	98	0	0	0	0	0	0	105	125	0	60	0	0	0	0	0	0	0	0	0	0	0	23	0	0	122	65	0	94	0	0	0	0	162	0	0	0	0	0	0	398	0	0	71	68	0	0	0	0	70	0	0	0	0	0	0	0	0	72	0	216	668	0	0	0	0	44	0	93	0	0	0	129	0	89	55	0	0	0	0	0	0	195	0	0	0	100	0	0	67	0
SV_12	0	53	0	0	0	37	0	0	0	62	0	0	98	0	0	0	57	0	0	0	0	19	42	0	0	17	179	0	0	23	0	0	0	0	0	0	0	0	0	136	0	0	0	0	64	0	568	0	0	0	16	54	0	0	66	0	0	0	0	32	0	0	0	356	0	0	180	0	0	228	0	0	357	13	0	0	0	7	0	0	0	0	144	0	0	0	450	0	0	163	0	0	4	0	0	0	0	42	0	54	0	0	0	0	29	0	15	24	0	9	0	23	0	0	0	0	0	0	0	40
SV_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	99	0	677	0	0	44	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	869	0	0	0	0	0	0	35	0	46	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	102	0	0
SV_14	0	402	87	40	0	0	0	0	0	0	15	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	156	0	333	0	117	0	36	0	0	0	0	0	211	0	0	0	0	14	0	65	0	0	184	0	133	0	0	0	0	0	30	0	0	300	29	0	0	0	0	0	46	0	0	0	0	223	0	179	0	0	87	0	0	0	36	0	56	0	0	59	19	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0
SV_15	37	0	0	0	0	0	0	0	12	0	15	0	0	77	0	0	9	0	9	35	0	0	65	5	0	0	0	20	258	0	73	0	0	0	0	23	34	27	163	344	94	13	0	98	48	0	0	9	0	24	20	0	56	6	0	71	0	57	58	101	10	222	59	171	128	7	0	0	25	188	40	55	328	0	0	8	0	0	40	0	13	0	55	53	3	0	0	0	12	0	38	0	0	6	0	4	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	9	20	0
SV_16	0	0	0	41	0	0	2	0	0	0	0	11	0	0	0	0	0	72	37	0	0	0	0	0	0	0	0	71	0	0	0	125	0	0	47	43	0	167	0	0	0	0	35	0	0	0	0	0	0	394	0	0	0	65	0	291	178	157	0	135	0	0	0	0	0	0	0	3	0	0	0	0	0	0	32	0	0	0	29	0	12	0	0	0	0	0	0	0	0	0	0	15	0	234	0	0	0	0	37	0	0	0	0	0	0	23	0	60	0	0	0	799	0	0	0	0	48	0	0	0
SV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	12	27	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	572	0	0	0	0	0	0	0	0	0	0	0	11	168	1020	0	0	0	0	0	0	0	0	0	0	0
SV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	150	0	93	0	74	0	0	276	0	0	62	0	0	67	0	0	0	0	0	0	0	0	0	0	614	0	0	0	0	0	0	99	19	0	55	0	0	0	0	0	116	0	95	0	0	0	0	0	0	0	0	0	0	88	0	0	0	118	0	121	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	21	0	0	0	0	0	0	0	65	72	0	0	0	138	0	185	0	0	0	301	0	0	0	0
SV_19	20	0	0	2	123	0	16	0	0	0	273	0	16	0	0	0	0	0	12	0	33	0	0	0	0	204	0	16	0	0	0	14	0	0	0	0	0	4	0	9	22	0	0	42	0	90	0	0	23	7	0	0	69	0	0	8	50	0	11	0	0	106	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	17	165	104	0	0	0	113	0	273	0	90	0	15	49	10	120	0	0	198	0	0	0	128	55	33	0	5	0	0	0	48	0	0	0	0	75	70	0	0	0	149	0	0
SV_20	47	65	41	0	135	75	0	35	49	0	35	0	44	68	21	0	0	0	65	0	0	17	0	0	47	0	0	38	0	0	0	0	64	0	40	0	84	0	42	40	0	0	57	0	0	49	20	0	0	46	0	0	0	0	76	0	79	0	0	113	0	0	38	0	0	90	51	0	0	0	0	0	56	45	64	0	0	107	0	61	29	76	0	0	0	0	0	0	0	107	169	0	48	0	0	0	28	0	0	0	0	0	74	35	0	0	21	0	0	0	0	91	56	44	0	0	0	0	0	45
