"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","median_log_clr","median_log_tss","median_es_clr","median_es_tss","n_both","n_tss_only","n_clr_only","n_neither"
-1,"cent vs mage",0.567960251929042,2.01999267858505,2.5084645350212,1.48689667150594,1.71443879958667,0.268308991399564,1.3821845135701,0.591820507712242,163,63,573,318
-1,"eld vs kin",0.800876132019141,1.40330344755113,2.10004247257663,0.704448213124531,0.820124568868675,0.0957826329284648,1.07142276132417,0.437339371547294,163,51,214,689
-0.9,"cent vs mage",0.629009712734095,1.72607389278259,2.17750868287817,1.20931111661318,1.43936976364742,0.277594846586849,1.28182151528809,0.588334961956406,175,52,469,421
-0.9,"eld vs kin",0.787338105446075,1.34658059379325,2.11380547776933,0.611399692560579,0.733258896516994,0.0963203410261898,1.00521981612481,0.445266717659209,165,47,175,730
-0.8,"cent vs mage",0.668948782128118,1.58195675174527,2.00839281765963,1.10882905349855,1.34794393583949,0.267640444244263,1.23447599755088,0.589894012274574,183,47,402,485
-0.8,"eld vs kin",0.847314148286555,1.10811653084847,1.73569167717501,0.47409032539042,0.588645776871359,0.0925099041694768,0.894468288886966,0.43246495652488,171,47,133,766
-0.7,"cent vs mage",0.723889953488623,1.36695448344952,1.76370452884591,0.914955757771005,1.1822060343087,0.279944440335353,1.15109258882387,0.592561611425395,185,41,312,579
-0.7,"eld vs kin",0.863824305081645,0.999495901381686,1.67432025255597,0.3975566936511,0.514997838301133,0.100280905468037,0.827487812064806,0.437241380518329,170,38,114,795
-0.6,"cent vs mage",0.779621049071734,1.16805819815075,1.50051951253836,0.744606787684755,0.980027726883467,0.23385390443233,1.03373192177118,0.557575978073198,172,36,239,670
-0.6,"eld vs kin",0.860966118373857,0.912810327038256,1.71947413674963,0.311259851277677,0.412900085877931,0.0947347965618598,0.744150621597939,0.420304797735191,174,34,96,813
-0.5,"cent vs mage",0.813204693817894,0.979739998160406,1.3193605799515,0.601903463980645,0.856214611947233,0.255528385191429,0.976639144512728,0.577172075353334,186,33,182,716
-0.5,"eld vs kin",0.934975762716797,0.634512623040727,1.10809264222049,0.18482078315238,0.288731421576047,0.0919518951620008,0.646075801890229,0.437026886268623,185,29,62,841
-0.4,"cent vs mage",0.873872873558904,0.757780814569413,1.06028763767115,0.424695744248576,0.679991639428616,0.237027682417568,0.867096392093367,0.557296237022058,194,20,140,763
-0.4,"eld vs kin",0.972808357579345,0.447154378708441,0.731607411683101,0.121052497867391,0.216297359711363,0.108297229829161,0.588301758278673,0.449852213294743,189,22,40,866
-0.3,"cent vs mage",0.934884194263165,0.525783573559109,0.759918027649238,0.284039219671192,0.55959748742498,0.265713009006047,0.793740846562567,0.584959032121286,211,14,81,811
-0.3,"eld vs kin",0.954909869275993,0.440453305200221,0.939193308498846,0.0874722868663836,0.186959993079661,0.104859732451342,0.552001174717288,0.450513929806024,186,23,35,873
-0.2,"cent vs mage",0.96841123742461,0.348282467541935,0.523649046272987,0.170943100225212,0.458457273420195,0.267210376364321,0.730002774396835,0.586993488618509,208,16,61,832
-0.2,"eld vs kin",0.989832027862189,0.229033945176232,0.462415045466401,0.0435748372688465,0.144999120135632,0.0979127997222677,0.481907675243014,0.447214134224697,200,11,16,890
-0.1,"cent vs mage",0.976138685501548,0.246552925177541,0.455879507522505,0.081212341531651,0.334013156199612,0.240867049383296,0.650282193740929,0.571279676849768,206,10,34,867
-0.1,"eld vs kin",0.982661246989795,0.137139024516726,0.581419500975925,0.00421903222593924,0.104458697108998,0.0940893747835364,0.447624618377275,0.434007687830811,204,12,9,892
0,"cent vs mage",0.995052081076415,0.102877574804293,0.20100753960961,-0.0111391064148074,0.256307869178655,0.270121866410692,0.581157761747469,0.589330650267867,212,18,2,885
0,"eld vs kin",0.997253527877501,0.0924494564642824,0.227988531067942,-0.000769829507285907,0.0988463370219013,0.096270272130883,0.43449559137407,0.439055502496523,207,7,10,893
0.1,"cent vs mage",0.98809608161129,0.172950625368136,0.320727907890156,-0.0511849018999619,0.185763645984128,0.260740018138821,0.508601118391506,0.57761501022622,196,23,10,888
0.1,"eld vs kin",0.99472057004398,0.148051726072314,0.342519043329498,0.0025750537689743,0.0963207268895988,0.0950134763732069,0.430288931420993,0.425562485252415,203,11,8,895
0.2,"cent vs mage",0.960484068943252,0.35408870937398,0.59828431976913,-0.117293281431652,0.148967657866834,0.284986803202283,0.48062156653468,0.592161853348384,178,53,14,872
0.2,"eld vs kin",0.987841162722894,0.261202016568073,0.52943763288857,0.0130274107448557,0.107155386710418,0.0976529177316888,0.439383370207699,0.436285039028954,194,26,13,884
0.3,"cent vs mage",0.944373126696034,0.470074537153676,0.768020891703196,-0.11912160983327,0.12405698141591,0.245486799524663,0.463582412663841,0.579525691384458,160,56,32,869
0.3,"eld vs kin",0.957915268389238,0.44828013256785,0.967060575129953,0.0726372979474853,0.165749713959421,0.0983612439278567,0.515054250529656,0.439031424303067,179,37,29,872
0.4,"cent vs mage",0.924928521283718,0.579742220574803,0.921622327106641,-0.146707270173971,0.114277823871707,0.272350128641863,0.439000752667021,0.603333963621831,159,72,37,849
0.4,"eld vs kin",0.957513187172769,0.444770000963755,0.981957772895446,0.084376943507472,0.177160222563185,0.0935919337257146,0.53875569621428,0.442690872244911,179,34,32,872
0.5,"cent vs mage",0.862448640115317,0.753745007851502,1.30347967550587,-0.11879561117798,0.122720673491484,0.269790695220204,0.44627690474172,0.590700689434593,139,84,55,839
0.5,"eld vs kin",0.930699853353319,0.66775403203189,1.24551611997497,0.169806571144402,0.272088613553601,0.103252524590648,0.641971556026388,0.43822677296303,165,49,53,850
0.6,"cent vs mage",0.840899148901527,0.827505866961963,1.48839066536223,-0.0787628625713482,0.155616207183078,0.254205633548633,0.445325884704961,0.575118844516932,131,84,61,841
0.6,"eld vs kin",0.916526275192986,0.828178281825272,1.4498672615527,0.25943265895347,0.360274748336158,0.0975262377753793,0.721805922546268,0.443404575188428,165,50,71,831
0.7,"cent vs mage",0.827194064487259,0.97007733287312,1.67756974915873,-0.0260239700822938,0.202193400681164,0.265723818578886,0.51376600352911,0.579773562010323,119,105,77,816
0.7,"eld vs kin",0.903241631382668,0.948698059684226,1.62037121888713,0.34692072766048,0.438145838058202,0.0919919748869687,0.810101763464248,0.44324592844257,156,58,88,815
0.8,"cent vs mage",0.771789348681609,1.06637227151535,1.89535145982988,0.0672673449746715,0.271561168420705,0.252135269938627,0.558870375919114,0.570286268755782,112,113,92,800
0.8,"eld vs kin",0.883680696864167,1.08786876718546,1.80064055312845,0.423823948837362,0.510414811546504,0.100400763636474,0.871568405358691,0.460614285353501,148,66,103,800
