"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
-1,"cent vs mage",0.119013062409289,82,535,72,0,428,1.40652575918397,0.154802820131343,0.242125513296754,1.38681072783101,0.445822721214859,0.570509308382407,0.391234330580725,0.612024082756332,0.952809781392772,1.92922631034918,1.66223196622663,0.313992302830048
-1,"eld vs kin",0.276744186046512,119,255,56,0,687,0.905232542202935,0.133430261137722,0.130399174998858,1.19951518428472,0.432233421261611,0.431274306598878,0.675213686533563,0.73237629994669,0.990065736118959,1.6332913009129,1.52048518025338,0.175179457511461
-0.9,"cent vs mage",0.114886731391586,71,472,75,0,499,1.28251037292571,0.157347799570603,0.262807659492031,1.3643638939792,0.453993272373779,0.580378425060856,0.358252637444246,0.513158088248804,0.967284247863422,1.77019433369504,1.54667021359526,0.277522704560244
-0.9,"eld vs kin",0.350132625994695,132,197,45,3,740,0.720760043484141,0.126302143874625,0.121681973491607,1.05654404890095,0.44878092146221,0.440086587826154,0.76275582577764,0.784584781556497,0.992474785185536,1.317885309028,1.29045756716543,0.123524787795318
-0.8,"cent vs mage",0.145873320537428,76,360,85,0,596,1.07886797990044,0.151160537207846,0.235672525787727,1.22768155969282,0.441858522934873,0.546519635191265,0.318242862692936,0.591773084507699,0.940757856306973,1.74005634987316,1.39278328832591,0.378312335414922
-0.8,"eld vs kin",0.430868167202572,134,135,42,0,806,0.594106620385884,0.130944502693955,0.139620548429123,0.993370655608811,0.43206919611837,0.438271042055035,0.821984399992127,0.791883126389556,0.972898947140884,1.02134890351323,1.03830867749438,0.228095459823379
-0.7,"cent vs mage",0.19908466819222,87,271,79,0,680,0.920442563051082,0.139756187859496,0.285244796016289,1.10735408572176,0.438867739946953,0.587658936844542,0.396360435501142,0.705037523193361,0.908253802721089,1.5338598189449,1.07914598833897,0.486813292164127
-0.7,"eld vs kin",0.556420233463035,143,82,30,2,860,0.339532688572082,0.134170112219074,0.12729798322724,0.698212556508842,0.440563013333402,0.431598533552506,0.888380271387959,0.871492363362237,0.973671882054348,0.749787036184797,0.730869624493664,0.140881386569092
-0.6,"cent vs mage",0.239690721649485,93,239,56,0,729,0.784999842460302,0.158355431568434,0.265299261965168,1.03487729698725,0.451282467945128,0.581567332617436,0.545295678418956,0.824121347903718,0.906271233506079,1.27058678177628,0.860966439570602,0.437780078443203
-0.6,"eld vs kin",0.50381679389313,132,96,34,0,855,0.347512662601788,0.14635296738249,0.131926532035263,0.718012648181247,0.433742200768678,0.454805996575993,0.873236683605688,0.91525977144227,0.987270272321197,0.791737499354736,0.633526756287108,0.223128769751423
-0.5,"cent vs mage",0.270491803278689,99,222,45,0,751,0.769488739056455,0.170266034151433,0.234399889163585,0.987859118463746,0.465300268611862,0.557955719183387,0.619142732825072,0.800485756170614,0.954817515478981,1.15230644623971,0.883389666038662,0.294046810056534
-0.5,"eld vs kin",0.580392156862745,148,78,29,0,862,0.309383158129924,0.13068528220342,0.131157117787348,0.672513386852919,0.431712468874334,0.449264330406922,0.894988430613444,0.894770761772031,0.9724907802422,0.707215974819273,0.628892118615806,0.206685485114851
-0.4,"cent vs mage",0.337175792507205,117,172,58,0,770,0.699589719076938,0.145437739831223,0.252529778864526,0.949234358491446,0.449459805574597,0.570884662145646,0.647293402099541,0.829399867449805,0.942366203155848,1.06065037525061,0.745825703758837,0.349514775898315
-0.4,"eld vs kin",0.769585253456221,167,39,10,1,900,0.219218317101728,0.14134898478807,0.131155010208272,0.573300711719678,0.443520264959788,0.447221888004622,0.978194788310064,0.942871528832276,0.969530160159432,0.332708179374708,0.387409281158089,0.171548862212729
-0.3,"cent vs mage",0.266272189349112,90,188,60,0,779,0.635617988004256,0.160339458429792,0.22573350611372,0.908595284598225,0.476540030254946,0.52128693624119,0.588891492601079,0.740402502437969,0.963375726832657,1.09389812525489,0.839287694914587,0.279316565542554
-0.3,"eld vs kin",0.640692640692641,148,60,12,11,886,0.221990534959716,0.13811082889057,0.109972891144315,0.582885025447498,0.432649385528817,0.425319210759116,0.961300155967158,0.953094182054298,0.983747173631393,0.435892206580232,0.475267990658741,0.248799033089941
-0.2,"cent vs mage",0.612612612612613,136,56,30,0,895,0.38823673824131,0.182973819939862,0.230075636681694,0.711894827159569,0.493821490192386,0.536555723769197,0.926245682363028,0.971894478524095,0.963953405575858,0.434196745636811,0.272366432984395,0.239596072730317
-0.2,"eld vs kin",0.785046728971963,168,33,13,0,903,0.157650559509013,0.124244685388888,0.121798216163995,0.473640358573279,0.421516234652811,0.432981450650168,0.989032697690702,0.970439262094123,0.977947317514216,0.247608480440502,0.228864761510108,0.146160864504238
-0.1,"cent vs mage",0.553990610328638,118,18,35,42,904,0.31690105980971,0.159652488119605,0.287360769105518,0.617519712462613,0.456355303327745,0.610047657278049,0.907472783388607,0.984448684983843,0.91632285910769,0.42704745131562,0.194762031095688,0.44465319948116
-0.1,"eld vs kin",0.877551020408163,172,18,5,1,921,0.120278684921041,0.117321578952381,0.120907639868617,0.435581669520741,0.425844858375878,0.422199632804703,0.987589977935262,0.996907067643601,0.986117943664835,0.171021121508168,0.0988165170157939,0.166302251505928
0,"cent vs mage",0.695431472081218,137,24,22,14,920,0.286970372948059,0.16100872229599,0.25195165130679,0.593500530482713,0.454962917570403,0.570983957649224,0.958181373363848,0.990358083109631,0.95465331746041,0.336903460799919,0.109597488173611,0.332900315918131
0,"eld vs kin",0.798029556650246,162,26,9,6,914,0.116983236435906,0.14565540269699,0.140323454814151,0.431236792727852,0.438032403562445,0.45573431490833,0.992894750876949,0.990388234452492,0.986151186168303,0.180473096188334,0.160209201059148,0.251513775527114
0.1,"cent vs mage",0.74054054054054,137,35,9,4,932,0.202757362471601,0.168771258259291,0.231197767152979,0.524143262703791,0.470498666781697,0.54404335506298,0.980792767648198,0.990168045186126,0.982155498005444,0.195530996501492,0.11977415600648,0.209590213022329
0.1,"eld vs kin",0.842931937172775,161,7,18,5,926,0.140470963782315,0.139047361606675,0.126239587612367,0.444885479575837,0.445827423818546,0.429148181327096,0.975889380480279,0.991828516706238,0.970838273202229,0.168084362244763,0.138600276895511,0.225924172360512
0.2,"cent vs mage",0.779005524861878,141,20,13,7,936,0.193956429325664,0.156035704725089,0.241885327385566,0.486766243032144,0.466528743357272,0.548589811593067,0.988716642599604,0.971410566936602,0.954787828573616,0.15082481853687,0.191119536649975,0.308856349962123
0.2,"eld vs kin",0.857894736842105,163,11,15,1,927,0.139842661248591,0.12866920873456,0.120282784218093,0.439807217399079,0.433627350972299,0.427514690952372,0.989998321288888,0.991997757873587,0.989876801428321,0.151161774244242,0.123809060833416,0.153389332929754
0.3,"cent vs mage",0.5625,126,32,11,55,893,0.147954374854587,0.152371559802146,0.321195475934377,0.452019873178333,0.449714049090431,0.634349802619447,0.982819514003498,0.934456088802674,0.906574265619697,0.132987022232542,0.431454779646076,0.482959208632846
0.3,"eld vs kin",0.73953488372093,159,20,28,8,902,0.161226698068522,0.125950574518894,0.113164214707344,0.47272705940893,0.435354931784597,0.435210456422213,0.953927135399536,0.961647574072412,0.99350696277051,0.30721219741081,0.305991389545824,0.135441357629768
0.4,"cent vs mage",0.582089552238806,117,31,19,34,916,0.138098695779536,0.149271853627411,0.239173001894548,0.430827972689916,0.457049501750183,0.559247862736382,0.974238376497144,0.950837602170267,0.90365954769974,0.202021927330324,0.308906705856368,0.453235377965569
0.4,"eld vs kin",0.666666666666667,152,37,38,1,889,0.202105599175766,0.11734072097084,0.135964990036744,0.539934479738739,0.426596916185231,0.447679915470791,0.944044651075624,0.974107144509533,0.968327090117299,0.465208885479389,0.370330071890345,0.246759051293776
0.5,"cent vs mage",0.564593301435407,118,49,26,16,908,0.152005305204177,0.150801918308639,0.219014490973321,0.447970009753857,0.460354409113514,0.536524555906464,0.970278379996004,0.927833460435777,0.973207869094732,0.263916988211114,0.473464519336712,0.257174648293074
0.5,"eld vs kin",0.662280701754386,151,40,19,18,889,0.210128576003009,0.139118558445378,0.116120241665261,0.567862880077618,0.45827962320687,0.437479901283894,0.943639149558072,0.942927761392817,0.994367201175009,0.438519768567391,0.472898362562427,0.122956695682915
