"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
-1,"cent vs mage",0.0966887417218543,73,592,90,0,362,1.46985065214333,0.157348807700207,0.239472099590499,1.43875184070824,0.459836632280765,0.559403438031515,0.233385789209775,0.51697479609829,0.937951329450199,2.18012747541988,1.8225202558366,0.402236876238819
-1,"eld vs kin",0.339622641509434,126,193,52,0,746,0.745365415226901,0.134424492446393,0.127486733597749,1.08018249366877,0.433328855759895,0.43000306821909,0.754659955447379,0.791934747576251,0.993000042035181,1.36120110525643,1.26476945477385,0.172093731597529
-0.9,"cent vs mage",0.128440366972477,70,402,73,0,572,1.15586851123111,0.155101080859653,0.278352692020414,1.23171251673383,0.455421057576954,0.593311470909628,0.406601643297766,0.678679324318824,0.933393803305527,1.70969163062373,1.35877070807733,0.391948053993892
-0.9,"eld vs kin",0.380952380952381,128,149,59,0,781,0.581028624652429,0.123445094905716,0.119927946256218,0.957861841231551,0.443299375659291,0.43607052464549,0.768298278371915,0.75923188533807,0.994432806827715,1.19013742402411,1.17652494522961,0.13701912287108
-0.8,"cent vs mage",0.12015503875969,62,384,70,0,601,1.08079935580851,0.162006588096859,0.295145807227271,1.22687107055227,0.458946373903041,0.614924123643678,0.37011369079087,0.703194682287788,0.904875040151943,1.63669289744635,1.21710849292864,0.450244073066034
-0.8,"eld vs kin",0.414556962025316,131,145,36,4,801,0.564583437310581,0.130576212528303,0.135510526188833,0.929260655895825,0.438773469027295,0.438913215510625,0.83879539350022,0.774524668007849,0.972842756287862,1.03891954303067,1.113717322041,0.15512533448346
-0.7,"cent vs mage",0.243559718969555,104,263,60,0,690,0.913196400136957,0.156914210451289,0.257124162406456,1.09945524493036,0.469374382261404,0.564474370655678,0.563733268701845,0.689603084536528,0.974292617570632,1.314783227128,1.10088397548328,0.246048410828966
-0.7,"eld vs kin",0.55859375,143,77,36,0,861,0.345470158723996,0.123952510884792,0.135904616363325,0.718128080007503,0.441791544415949,0.446594464045728,0.842570551829193,0.88741547117991,0.991078432240631,0.787780455061546,0.64175725732193,0.184332992206848
-0.6,"cent vs mage",0.246192893401015,97,242,55,0,723,0.77340309521544,0.154035407442473,0.234209761002269,0.983810199528255,0.454960285680909,0.544974441120907,0.562553509208754,0.722097231953152,0.964525117775259,1.25671678710112,0.99890609554436,0.293245588076693
-0.6,"eld vs kin",0.533834586466165,142,93,30,1,851,0.381980136830716,0.136589023997687,0.142501779008396,0.744339754790581,0.436077495758294,0.450608672501625,0.888857023175003,0.924166753954011,0.988381315611739,0.773807069442418,0.636719831792965,0.185773223182875
-0.5,"cent vs mage",0.309904153354633,97,167,49,0,804,0.642175191621927,0.169754879116358,0.260146684825559,0.92461019054992,0.453408749998767,0.579018597115388,0.671216129520545,0.890704444613019,0.914371988075612,0.981466323268743,0.5926520247117,0.424386067553823
-0.5,"eld vs kin",0.586614173228346,149,76,29,0,863,0.323647219262031,0.133757741406868,0.137111445919179,0.695996815654523,0.441250986237802,0.437507606998161,0.869310035934178,0.934987911556195,0.964670689418361,0.750807611620947,0.551911412883855,0.247922686893617
-0.4,"cent vs mage",0.391304347826087,108,125,43,0,841,0.569444506796999,0.183641360597565,0.23965169975102,0.888010014163646,0.463875668611456,0.574042185182333,0.706247692316521,0.88547380134289,0.941949525759394,0.851047213899425,0.549310094051588,0.321060834284084
-0.4,"eld vs kin",0.683982683982684,158,52,21,0,886,0.206594204079544,0.127551631041732,0.142892493803071,0.559735756686995,0.440821166585824,0.449805661511566,0.963803816100516,0.967962475642613,0.975650947648028,0.446047354222759,0.303890982256188,0.240917902147118
-0.3,"cent vs mage",0.363321799307958,105,150,34,0,828,0.485299015064417,0.178786325373297,0.277792935269786,0.784547176874056,0.446974259399448,0.588464064613406,0.746040484412684,0.913339056184276,0.937726573924688,0.832022780592859,0.449870513889435,0.400750000759457
-0.3,"eld vs kin",0.627118644067797,148,61,26,1,881,0.258243613317957,0.141972101411328,0.138285648195648,0.616457079220394,0.442664359965556,0.442900292311839,0.915057934863972,0.911810936920865,0.979958353893397,0.6027950798378,0.528912500757898,0.178330995999011
-0.2,"cent vs mage",0.458955223880597,123,97,48,0,849,0.451723456015821,0.149108922053493,0.257394227696782,0.773363963452149,0.457780579340526,0.586526526558503,0.750916197985537,0.944042707476836,0.909604247790733,0.780683518973012,0.36692115148801,0.425024597689294
-0.2,"eld vs kin",0.784313725490196,160,29,12,3,913,0.18905570262462,0.135904339170151,0.134920628595614,0.513702614477937,0.42488617636488,0.446280676740586,0.9803670052322,0.974124515614815,0.986201614104825,0.289788157280439,0.265234758327505,0.203285888363493
-0.1,"cent vs mage",0.55609756097561,114,64,22,5,912,0.315469064316734,0.177471985625183,0.228920561089437,0.635971654108745,0.463607380487228,0.553377125613814,0.877499377419985,0.960582108012368,0.962112790964402,0.458888923292828,0.21801696821511,0.270771348616152
-0.1,"eld vs kin",0.784688995215311,164,30,14,1,908,0.138081418274003,0.123964975611649,0.124494422261209,0.465447235794676,0.42628747480735,0.430759954554257,0.982678389716916,0.960998762519535,0.975498450955125,0.259745824501087,0.277641127197211,0.138028053327441
0,"cent vs mage",0.636363636363636,126,29,43,0,919,0.2798097421694,0.172323413323465,0.222037552133073,0.602246792408077,0.474251599026712,0.534686481206844,0.882059055352425,0.979311870361984,0.916453500809452,0.42569733286989,0.153215659050225,0.334153856076044
0,"eld vs kin",0.851851851851852,161,23,4,1,928,0.126894848640267,0.130664736855159,0.13231926106353,0.438151505827639,0.449598368906669,0.432570812809997,0.993941644531119,0.992744900652301,0.991707808955577,0.13881799031527,0.161585977253449,0.138578584039759
0.1,"cent vs mage",0.569444444444444,123,52,31,10,901,0.224980065027949,0.148248815590995,0.261792022713407,0.542905705018779,0.435126411731216,0.582992467097424,0.933592817944707,0.989935718651551,0.912759728569985,0.393516818972004,0.125718895654575,0.456460943409766
0.1,"eld vs kin",0.755,151,33,3,13,917,0.130799340065729,0.126040626690118,0.154554481697954,0.446905480185571,0.418459964299358,0.45950148072249,0.973378215909815,0.95140115901701,0.963636680593952,0.172622984524574,0.360041015430338,0.298109547269663
0.2,"cent vs mage",0.659090909090909,116,49,6,5,941,0.201917667796701,0.169720013192503,0.260387201779047,0.516983427905671,0.461970755737945,0.572278087149349,0.962293733488758,0.986976886930734,0.964570188157472,0.250057922306679,0.141869695274339,0.284056132773462
0.2,"eld vs kin",0.736040609137056,145,24,14,14,920,0.140108085902866,0.132915621167084,0.154077818849254,0.461521388065471,0.437410267271326,0.459372465307364,0.990711516583994,0.968224108434333,0.975351740718474,0.16322061024568,0.339579846281274,0.280672194597626
0.3,"cent vs mage",0.567164179104478,114,22,22,43,916,0.149701267664314,0.153085948707556,0.290296095684856,0.443350309075431,0.462909106175105,0.599021201801412,0.989177726214865,0.937638826782714,0.952620506303906,0.125501804948839,0.395699927756231,0.347892746691495
0.3,"eld vs kin",0.68348623853211,149,30,9,30,899,0.173384675595295,0.143260005042569,0.124115235773659,0.505882322548885,0.425202741154666,0.449676033793276,0.979071859964861,0.947079991461805,0.968948946900964,0.284736903141742,0.412208536230026,0.217807910513975
0.4,"cent vs mage",0.48989898989899,97,44,7,50,919,0.149966680639317,0.175983637957136,0.231069390420446,0.441192267469432,0.437822398128069,0.546878634712767,0.97943916773294,0.885594702111059,0.921836486648821,0.158349594255112,0.477727107675251,0.36954716639274
0.4,"eld vs kin",0.693023255813954,149,27,30,9,902,0.204901822317943,0.128210698545974,0.132936503911646,0.538445420880258,0.424598983686451,0.440887365174066,0.938366436021825,0.94829650068909,0.989831719090484,0.384261067338308,0.407567492314108,0.166629788826873
