"constant","comparison","n_all3","n_coeff_side_clr","coeff_clr_slope","coeff_clr_int","coeff_clr_r2","n_clr_side_coeff","clr_coeff_slope","clr_coeff_int","clr_coeff_r2","n_coeff_side_tss","coeff_tss_slope","coeff_tss_int","coeff_tss_r2","n_tss_side_coeff","tss_coeff_slope","tss_coeff_int","tss_coeff_r2"
-1,"cent vs mage",73,59,0.737753746987454,-3.32289727307316,0.876483619633429,14,1.18385713450204,8.5392362662122,0.34679491590069,59,0.792436885058691,-3.09024907912826,0.882026806908418,14,1.0602692880331,6.09443920258983,0.5436939868539
-1,"eld vs kin",126,87,0.460243560746235,0.0602527197411313,0.779686430796554,38,1.0382625133416,5.12923589046417,0.912195652215675,87,0.453137191809403,0.294420653151445,0.790001882514511,38,1.09503927577516,3.98644783737658,0.939063449147445
-0.9,"cent vs mage",70,50,0.715028545629772,-3.06561713964008,0.860877056685235,20,1.22151326688005,4.67636226435735,0.68018807812165,50,0.840316114955735,-2.45754507852814,0.912336523392334,20,1.18860443742144,3.8854784060618,0.600471569275644
-0.9,"eld vs kin",128,89,0.46607842395747,0.478179038884944,0.76439068444905,38,1.09867294779783,5.46103582075394,0.895928813336826,89,0.419701212928323,0.604329105382908,0.697553482177246,38,1.15147223265238,5.25545987030587,0.901803043603756
-0.8,"cent vs mage",62,43,0.756173108954399,-3.30542750436105,0.88088547684495,19,1.26237638287702,5.66986625148536,0.449531962341212,42,0.853668019874847,-2.30923256965757,0.905688201877438,19,1.18292630527899,3.97632625027635,0.423587544832385
-0.8,"eld vs kin",131,84,0.557733512043246,0.010029686996434,0.786818048934556,46,1.14142924079767,3.26571316623896,0.955881825662276,85,0.448398742629337,0.145055962245894,0.825584338945987,46,1.13281349122145,3.49796215392401,0.945247984031237
-0.7,"cent vs mage",104,77,0.775533551085888,-1.88022848920376,0.908706623836518,27,1.22998418434339,4.66389725264718,0.649920926960166,77,0.806681471690894,-1.73183247431259,0.917842349008194,27,1.29092367596351,3.53818049591746,0.688124825583806
-0.7,"eld vs kin",143,86,0.413806342003597,1.03237493433131,0.714275907398181,56,1.1379338183715,3.09188795659195,0.905791903540724,89,0.463839773807727,1.26193140117787,0.74956869239418,53,1.12810729628654,2.44576173764318,0.953364597397385
-0.6,"cent vs mage",97,57,0.775387992494476,-2.44521800991652,0.88982329498797,40,1.38715696034194,3.03408746157211,0.779960662757372,57,0.789774001611424,-1.73155969549972,0.864859034376043,40,1.30309770743094,2.43762733951344,0.748822910426425
-0.6,"eld vs kin",142,86,0.599581190545953,-0.339058428225621,0.783340302839187,55,1.09807082118888,1.71564955468619,0.987050078981794,86,0.60451548328129,0.114282083562525,0.818421572052752,55,1.08338086424856,1.08199543495228,0.982225873870463
