"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","median_log_clr","median_log_tss","median_es_clr","median_es_tss","n_both","n_tss_only","n_clr_only","n_neither"
-1,"cent vs mage",0.262804118142146,1.65670442038946,2.27743324725312,-1.02813116459245,0.177291615040516,1.13888830932649,0.458595306959387,1.40156445575162,48,402,78,589
-1,"eld vs kin",0.770672920193883,0.784854629503668,1.40090079452626,-0.330339272785416,0.172469021966249,0.471900168577926,0.433654538585103,0.978533977620008,88,83,49,897
-0.9,"cent vs mage",0.184506211134902,1.39414991171918,2.05490826197739,-0.782844650911634,0.176929684289112,0.905628280724581,0.437765449881312,1.32171407907356,21,283,90,723
-0.9,"eld vs kin",0.890424272967721,0.723893274338321,1.03542272387139,-0.470970640545537,0.176168399015846,0.609629793454875,0.45164270123308,1.05220375391865,100,113,34,870
-0.8,"cent vs mage",0.21994903173553,1.20082538120739,1.69896512927599,-0.789333163593176,0.17963512431588,0.913278953717942,0.443209710007171,1.33880271386387,18,264,69,766
-0.8,"eld vs kin",0.917847152709944,0.621999323152592,1.02271355801754,-0.288744781159178,0.19618131226452,0.461742582259491,0.456976462896135,0.917289337564204,112,89,33,883
-0.7,"cent vs mage",0.410671455710359,1.21782292007946,1.73858534516767,-0.698972081247027,0.174913798202503,0.820192826953589,0.44414671377876,1.13956846018183,59,232,62,764
-0.7,"eld vs kin",0.813117648054736,0.817483803946846,1.38283324903711,-0.376764894996508,0.168826869331594,0.523309818893711,0.439852858753836,0.929254267356243,96,91,43,887
-0.6,"cent vs mage",0.552320336930755,0.806762448460974,1.13848960091288,-0.494201690563796,0.192932980743471,0.646892558632067,0.455268657560664,1.0148393290583,36,171,43,867
-0.6,"eld vs kin",0.870554335116354,0.644071436734212,1.17911151588024,-0.17731781914009,0.180868176359579,0.359850260058135,0.452731108290312,0.742234556475258,106,77,32,902
-0.5,"cent vs mage",0.49892199899418,0.827522792818052,1.40108005447805,-0.387629222647966,0.169844028839967,0.507189668825452,0.438200528489725,0.953874603903414,46,112,72,887
-0.5,"eld vs kin",0.815202584089904,0.664960036844955,1.40499104187937,-0.124719699498033,0.181724346209783,0.287802779886334,0.489895063368617,0.643627627319887,110,58,34,915
-0.4,"cent vs mage",0.626897372067665,0.612671448172917,0.977293423904297,-0.318686602426664,0.214305801200928,0.500671249850174,0.471968206664517,0.882476813994554,46,94,47,930
-0.4,"eld vs kin",0.957786742595356,0.332597418465762,0.668130822693971,-0.0956705777999357,0.159971152626709,0.243322598492571,0.423340901217134,0.60216863324271,128,32,22,935
-0.3,"cent vs mage",0.78247280206707,0.607630960612945,0.917817018081514,-0.296507600360821,0.199360647946647,0.463191748793653,0.473297985844315,0.808770998799719,85,102,27,903
-0.3,"eld vs kin",0.981435992725075,0.26765736830659,0.421910046073018,-0.132650603437682,0.160850151838167,0.282026708525085,0.437085831129472,0.614105910455618,138,31,17,931
-0.2,"cent vs mage",0.913308090736125,0.26345817715038,0.527713754773511,-0.073307995636827,0.224892372669608,0.288057929813454,0.484468920027924,0.617547012079009,93,38,18,968
-0.2,"eld vs kin",0.984426552903059,0.181791722589853,0.404162280695637,-0.0281581526701506,0.145218691915903,0.172021246113905,0.425850927034178,0.485020006220757,149,12,11,945
-0.1,"cent vs mage",0.562495765654629,0.626541841847919,1.34602330884058,-0.222099298142443,0.165797705142706,0.353115377250146,0.45528213919831,0.721772522994507,76,54,56,931
-0.1,"eld vs kin",0.95929447921891,0.248514443067492,0.732263436378881,0.0463297756048713,0.213166652413983,0.15705186670338,0.477469727553125,0.449921143991796,127,29,3,958
0,"cent vs mage",0.974312215209059,0.136756624849962,0.261460933993792,-0.0454189243262847,0.2001412547363,0.229445796668304,0.439111308893236,0.51582303228681,72,18,2,1025
0,"eld vs kin",0.944932246491245,0.20300630052653,0.734351731190099,-0.00744489940819447,0.159481480065773,0.180177752454085,0.413849527744992,0.430107874343752,137,1,17,962
0.1,"cent vs mage",0.966320529593443,0.20232520362394,0.339632192884021,-0.0869230268954994,0.182137248192231,0.251562353985759,0.449835793290814,0.548657913653517,92,5,26,994
0.1,"eld vs kin",0.969411279573488,0.185045853092044,0.684609408746072,0.00111176718930701,0.153177989629129,0.15519023250626,0.461290523323542,0.433926599964143,151,2,19,945
0.2,"cent vs mage",0.85770979463833,0.335082404705065,0.75140655878835,-0.0405874102565618,0.191823597497721,0.227184846729607,0.42672110669755,0.53687274240862,64,54,34,965
0.2,"eld vs kin",0.91403508356448,0.455276272876848,1.08638073425675,-0.0598786166343296,0.171253258454853,0.204710391815532,0.440224092987131,0.537454239394428,113,22,37,945
0.3,"cent vs mage",0.979544415819233,0.122757755405874,0.251439024702801,-0.029719985435875,0.207291652189103,0.217583869086898,0.449121712261298,0.50395904918319,80,18,2,1017
0.3,"eld vs kin",0.973737220067333,0.3111862669101,0.683744201212783,-0.0465081025044539,0.194321590976615,0.210455700548008,0.4544091629986,0.523046760583615,111,19,9,978
0.4,"cent vs mage",0.982056295760503,0.0913964440164181,0.211341630837436,0.0110259436121205,0.205215529720783,0.189151901407774,0.465278449588109,0.462572667942843,92,3,14,1008
0.4,"eld vs kin",0.96216227641867,0.433945414128853,0.885074452530236,-0.128715505809,0.179203656916604,0.289217076669378,0.434738082382939,0.66445118654198,113,34,29,941
0.5,"cent vs mage",0.978989564715864,0.133525145857222,0.259580740654139,-0.0106694422109161,0.202342619982276,0.203865140587375,0.466796759156599,0.456816786849791,81,6,16,1014
0.5,"eld vs kin",0.947306290135757,0.446196574900812,0.858593125701352,-0.12985724607562,0.180561958125337,0.282759347980363,0.45081120300156,0.653370374825357,102,22,36,957
0.6,"cent vs mage",0.911455569502887,0.220559749503477,0.799560136102347,-0.0014193662555831,0.187316622768687,0.185680879307994,0.435193507372524,0.446199993714163,90,15,3,1009
0.6,"eld vs kin",0.972513175810682,0.356508669837562,0.698439232072498,-0.122283062923201,0.182694396765867,0.291099010258868,0.4451905611441,0.663819566854013,111,26,20,960
0.7,"cent vs mage",0.87052655553135,0.535725778139737,1.28892543086375,-0.0437606486219888,0.198773670050671,0.209385949126149,0.469803345555476,0.496355313135595,83,60,33,941
0.7,"eld vs kin",0.952715103618031,0.48397907925936,0.866086975741226,-0.19372841433389,0.144504672795155,0.338999433099896,0.446245972137176,0.750615539152998,118,27,45,927
0.8,"cent vs mage",0.955043112654927,0.260591974732718,0.429622468525312,-0.0677250830469254,0.192559699555692,0.243069129006133,0.472386824035347,0.500191560888652,86,7,37,987
0.8,"eld vs kin",0.82722089341941,0.706976954606422,1.53885492624477,-0.274941340316996,0.148474456633068,0.39011977135911,0.436906016335494,0.857282135986755,98,38,60,921
0.9,"cent vs mage",0.955767548267405,0.398797553652665,0.731011873544013,-0.0976568273678448,0.194855675348664,0.247833824030434,0.462480583030708,0.539422809210866,90,40,30,957
0.9,"eld vs kin",0.882815639762836,1.02733606132891,1.88753432364703,-0.467861970062857,0.171211464111107,0.593936854011118,0.436990557569719,1.08535187840908,91,107,51,868
1,"cent vs mage",0.870272984892589,0.764855681277347,1.40949724193713,-0.287612759510756,0.191819938389197,0.407352805422802,0.475265480246193,0.775363340456951,76,87,30,924
1,"eld vs kin",0.787005832635388,1.23550100844979,2.22749670761523,-0.519457334323748,0.149623561956309,0.641202561096132,0.444610479030828,1.09699312772248,100,125,71,821
