"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
-1,"cent vs mage",0.128939828080229,45,239,65,0,768,0.99743760051233,0.188212493884593,0.236335633928452,1.40001139686448,0.458954996245236,0.545003045079431,0.473123504094794,0.670583796608237,0.951179971219966,1.02577972721737,0.862463687895031,0.193140909124291
-1,"eld vs kin",0.363036303630363,110,140,52,1,814,0.619086177382195,0.141192184073777,0.15716275574918,1.06639169275671,0.444164864921347,0.44063432472814,0.721219100750487,0.747211602332339,0.993228399614966,1.12636033868816,1.07157622211352,0.131069612946665
-0.9,"cent vs mage",0.0980392156862745,40,307,61,0,709,0.981256747240758,0.211980412208415,0.263321289603515,1.3228991124612,0.482624816773169,0.573707424262524,0.471477838512609,0.710572461278416,0.928550028672437,1.27410100596627,1.09187361775231,0.206035461496628
-0.9,"eld vs kin",0.39922480620155,103,109,46,0,859,0.490737482499899,0.151220559179525,0.163529058927139,0.91513947709396,0.440126085908804,0.440599613056403,0.753277742253916,0.835908849880762,0.96679500974714,0.93735099579163,0.801463502416056,0.187398029828379
-0.8,"cent vs mage",0.126721763085399,46,264,51,2,754,0.833388181526532,0.192657738624806,0.253192634253169,1.19014733640826,0.462982051075625,0.522569436157126,0.5948951426674,0.495119537158618,0.944688765271631,1.10878478036011,1.09884829364864,0.172083141588458
-0.8,"eld vs kin",0.343629343629344,89,114,53,3,858,0.562282900652826,0.170642366476999,0.154400226758384,1.06437062838546,0.442774692611684,0.433454763319369,0.722939471115876,0.699454179302207,0.989648442062902,0.967122062705593,0.99343905555341,0.111587426071615
-0.7,"cent vs mage",0.207547169811321,44,117,51,0,905,0.648841391587418,0.214767494116939,0.268517539252723,1.08632804299513,0.46102004898903,0.586179712698165,0.555552317448483,0.799606612554276,0.9145594609033,0.787609273571798,0.562843057592008,0.25542677644586
-0.7,"eld vs kin",0.444915254237288,105,101,29,1,881,0.435673981545356,0.172431062606134,0.186809245346048,0.832614337012708,0.437986398932967,0.461203512409647,0.846873805038045,0.823413068344824,0.975055257514268,0.762946864816947,0.716226675390144,0.215175573535425
-0.6,"cent vs mage",0.304964539007092,86,142,54,0,835,0.654751828417712,0.18261068799966,0.343555734551178,0.999219124222069,0.46005173095077,0.697643711853811,0.612793539157777,0.927540098520198,0.83009539220641,0.895002302239762,0.441301392337198,0.473103428549328
-0.6,"eld vs kin",0.348214285714286,78,104,41,1,893,0.345173908276209,0.187163456456944,0.162961867702915,0.757241132939381,0.458088780717451,0.434069481699367,0.747238185551949,0.868848599493294,0.969673884205899,0.810384765775947,0.614041965354537,0.249521019047115
-0.5,"cent vs mage",0.227488151658768,48,108,54,1,906,0.512067831173354,0.196545480755217,0.235057647296789,0.889222720301928,0.453512690519719,0.500325950567408,0.580077196991682,0.670528456800463,0.978160438596299,0.73011676938465,0.597357223396704,0.158131008873394
-0.5,"eld vs kin",0.562790697674419,121,64,30,0,902,0.27449488934084,0.163986153095337,0.175213629535667,0.623590386146533,0.431539669193696,0.463692649487497,0.93339810025551,0.924457386887746,0.96905702924123,0.522503931346879,0.431154594991669,0.17462602027403
-0.4,"cent vs mage",0.229591836734694,45,78,70,3,921,0.501422710767334,0.166076431063778,0.278580162058374,0.895130083463767,0.451197664902285,0.600377594978517,0.524326331072434,0.90698206067053,0.797241638350252,0.787855683891159,0.347468562169093,0.517726032486541
-0.4,"eld vs kin",0.712574850299401,119,31,15,2,950,0.269601601340884,0.168421817670484,0.16745724255278,0.585306084023907,0.422261832773748,0.442561259933673,0.972804524602009,0.986151096533284,0.989958059943565,0.313513063098818,0.247405035958627,0.127540893352041
-0.3,"cent vs mage",0.389937106918239,62,69,23,5,958,0.367698069854376,0.20682715250729,0.343645712495301,0.69784939485706,0.468146750170847,0.667228838309327,0.839913279492913,0.963755174037662,0.877485495965349,0.348999885865753,0.156536061594595,0.340603798039126
-0.3,"eld vs kin",0.640883977900553,116,59,6,0,936,0.194113619197491,0.177919416479729,0.174957184430008,0.525039627753296,0.442548154987574,0.42739472599693,0.943120128196466,0.941505926523826,0.940197442854834,0.302142297512075,0.409024048653505,0.260840416571594
-0.2,"cent vs mage",0.345911949685535,55,86,18,0,958,0.311058723842394,0.194753184305665,0.260813120205224,0.63758543876779,0.452176530740888,0.576737651392287,0.795822007215667,0.943282374726672,0.883087335532298,0.409746276102943,0.215155830849457,0.277095476414467
-0.2,"eld vs kin",0.791907514450867,137,26,7,3,944,0.19761244146884,0.170989902979575,0.148287708961822,0.482413049912245,0.43487855849482,0.437546534247687,0.969909161191328,0.984314002961673,0.962123896027075,0.149809478628073,0.184610132928522,0.145920839474428
-0.1,"cent vs mage",0.551470588235294,75,32,29,0,981,0.277075653099946,0.170562789364082,0.269942622579059,0.590659568402782,0.436990038151922,0.541839153289545,0.888213482265779,0.930081660582054,0.96267021703014,0.36330196036549,0.162835272138454,0.271306897205604
-0.1,"eld vs kin",0.830065359477124,127,17,7,2,964,0.170280959587805,0.17104680960098,0.162995661483426,0.442931419698856,0.439050170467702,0.426462253569484,0.9762647811704,0.975033314835956,0.989508573563858,0.149461917843925,0.170558128833286,0.129855380104666
0,"cent vs mage",0.591836734693878,87,27,21,12,970,0.256105211015312,0.204355086233105,0.298631677951839,0.56471067077679,0.489253999555856,0.607463251341429,0.925059041317854,0.985316144322005,0.935349664215692,0.230098323888075,0.130013654880159,0.279529382532931
0,"eld vs kin",0.70440251572327,112,4,23,20,958,0.181939917801915,0.169086145463393,0.164082897665568,0.445480792880875,0.432780821089581,0.451282261097705,0.976745088253679,0.989443189118746,0.982786764782359,0.183853300322949,0.190339174065797,0.185733478529504
0.1,"cent vs mage",0.579310344827586,84,57,4,0,972,0.223896964321444,0.184927105289893,0.186131924253347,0.532916548145429,0.463730381217737,0.471743883571067,0.964737163163247,0.964423354869107,0.939672870311422,0.199281045676421,0.21644292040051,0.173912327494503
0.1,"eld vs kin",0.830188679245283,132,4,13,10,958,0.166967120576832,0.176400827579306,0.14989905316723,0.423811451235127,0.443233550759299,0.419172871174938,0.991740601605474,0.983774872958068,0.988533000603672,0.150166670487937,0.226553857655554,0.168557230686803
0.2,"cent vs mage",0.607594936708861,96,12,10,40,959,0.193777269049527,0.188907157908923,0.216604988448126,0.463237623992081,0.449507463587388,0.531008612197089,0.98368291382319,0.942029512799775,0.937797717934273,0.0955035933355638,0.204908195149357,0.246954003930782
0.2,"eld vs kin",0.776470588235294,132,9,21,8,947,0.153039903573012,0.16483706224266,0.177918558707851,0.440885319283603,0.437102516178866,0.473694175855463,0.956962741361514,0.985684246946397,0.963306397252108,0.19978616366784,0.181753253537003,0.196004063116234
0.3,"cent vs mage",0.509554140127389,80,26,23,28,960,0.18426867204378,0.181474300193197,0.282441551589419,0.448608867946761,0.470584727671579,0.609522026525595,0.854362074583868,0.699013071875731,0.928047241865804,0.283849863964676,0.492253619568033,0.236948973943973
0.3,"eld vs kin",0.833333333333333,140,2,20,6,949,0.161493666677786,0.144978490256653,0.142415448076267,0.435731799376098,0.438907169921233,0.443031865681183,0.947178006905145,0.986461558853598,0.968134113945338,0.231179935943366,0.161066147341433,0.147576989884117
0.4,"cent vs mage",0.38150289017341,66,41,32,34,944,0.175413291999145,0.179693259295693,0.311249752257299,0.437937894460291,0.453203005653056,0.652675308292383,0.979228795527867,0.737220817771979,0.826626515596836,0.1659529728105,0.557869640389266,0.435012448319642
