"constant","comparison","n_all3","n_coeff_side_clr","coeff_clr_slope","coeff_clr_int","coeff_clr_r2","n_clr_side_coeff","clr_coeff_slope","clr_coeff_int","clr_coeff_r2","n_coeff_side_tss","coeff_tss_slope","coeff_tss_int","coeff_tss_r2","n_tss_side_coeff","tss_coeff_slope","tss_coeff_int","tss_coeff_r2"
-1,"cent vs mage",45,42,0.7075328134745,-0.838326742630886,0.92602721535039,3,0.725578807038239,8.30240125278153,0.798203890592208,40,0.798262866498866,-0.54554312600183,0.918945329372546,5,7.23836146410016,-10.8367493020266,0.409512715729622
-1,"eld vs kin",110,82,0.464268265388672,0.318797101422379,0.764041818932194,28,1.14127402381691,5.71521291270967,0.896235491861819,82,0.484165185898747,0.142344096719787,0.834690455490543,28,1.05443818606675,5.48371740602157,0.894845932466571
-0.9,"cent vs mage",40,31,0.740077222161038,-2.85805624943144,0.872006099066716,9,1.73700654428804,2.66032598876462,0.756933497130347,31,0.789674711984748,-2.23651271842419,0.910117794489705,9,1.58497163348521,2.03482011244861,0.85359116950612
-0.9,"eld vs kin",103,71,0.470488699488858,0.380635862930992,0.798101906474395,32,1.19068164994303,4.4983632362287,0.897878856636892,69,0.484362889782725,0.73077803521927,0.734930708093126,33,1.23956530030984,3.28904453108791,0.921882374102412
-0.8,"cent vs mage",46,32,0.6678878356625,-2.18205885967751,0.899478136007264,14,6.31732369151011,-5.38992894762491,0.864179765049451,32,0.59173597837133,-1.6525846095015,0.897742029943221,14,5.89010578141187,-2.73383075308162,0.673449397632099
-0.8,"eld vs kin",89,67,0.471549143231388,0.238316514117127,0.790596181350744,22,0.992251438451285,6.65796970315959,0.892798402417011,67,0.418335239774451,0.347584529337955,0.819502920527485,22,1.00350219796902,6.62299317835641,0.882168788052398
-0.7,"cent vs mage",44,27,0.773172116189606,-1.28665947962119,0.878809655462946,17,1.23854317497914,4.27937243832115,0.610322855030958,27,0.789520213010948,-1.28333229445451,0.926901742547091,17,1.09386612752509,1.98752677137022,0.88318843270795
-0.7,"eld vs kin",105,64,0.468120490928757,0.494078253535527,0.77085622504122,41,1.06211542230651,2.03980464006819,0.961155566574879,67,0.375597472522882,0.456637631689868,0.612528643026591,38,1.10203797133778,1.23619807307597,0.97851302486299
-0.6,"cent vs mage",86,55,0.758598449805657,-1.19634178916591,0.90293497783487,31,0.724153179341282,5.0559180988071,0.535136152287529,50,0.959413201274776,-0.910789610057421,0.952334387747701,36,0.987235743036169,1.33036110621883,0.896328541347036
-0.6,"eld vs kin",78,45,0.460294686635046,-0.504361711413464,0.781657202905257,33,1.12042587002309,3.74211430871273,0.917852748688187,45,0.561211458174637,0.541261401684429,0.7967143622607,33,1.0651228530366,3.06272239805744,0.943859968553234
