"aldex_norm","edger_norm","comparison","n_kept","n_sig_aldex","n_sig_edger","n_both","n_aldex_only","n_edger_only"
"TSS","TMMwsp","mid vs you",186,112,153,96,16,57
"TSS","TMMwsp","mid vs mage",202,41,108,32,9,76
"TSS","TMMwsp","mid vs eld",209,83,145,77,6,68
"TSS","TMMwsp","mid vs cent",238,92,156,78,14,78
"TSS","TMMwsp","you vs mage",186,100,149,99,1,50
"TSS","TMMwsp","you vs eld",189,30,78,25,5,53
"TSS","TMMwsp","you vs cent",190,114,153,108,6,45
"TSS","TMMwsp","mage vs eld",173,38,114,38,0,76
"TSS","TMMwsp","mage vs cent",251,97,159,88,9,71
"TSS","TMMwsp","eld vs cent",252,67,156,65,2,91
"TSS","RLE","kin vs pup",185,12,85,11,1,74
"TSS","RLE","kin vs mid",179,66,114,55,11,59
"TSS","RLE","kin vs you",160,107,131,104,3,27
"TSS","RLE","kin vs mage",166,43,83,35,8,48
"TSS","RLE","kin vs eld",156,78,125,74,4,51
"TSS","RLE","kin vs cent",227,115,174,94,21,80
"TSS","RLE","pup vs mid",207,93,131,84,9,47
"TSS","RLE","pup vs you",165,125,154,123,2,31
"TSS","RLE","pup vs mage",218,62,124,43,19,81
"TSS","RLE","pup vs eld",220,136,179,117,19,62
"TSS","RLE","pup vs cent",173,106,148,87,19,61
"TSS","RLE","mid vs you",186,112,153,96,16,57
"TSS","RLE","mid vs mage",202,41,106,29,12,77
"TSS","RLE","mid vs eld",209,83,160,55,28,105
"TSS","RLE","mid vs cent",238,92,189,55,37,134
"TSS","RLE","you vs mage",186,100,146,95,5,51
"TSS","RLE","you vs eld",189,30,81,21,9,60
"TSS","RLE","you vs cent",190,114,162,110,4,52
"TSS","RLE","mage vs eld",173,38,122,37,1,85
"TSS","RLE","mage vs cent",251,97,179,82,15,97
"TSS","RLE","eld vs cent",252,67,166,63,4,103
