"constant","comparison","feature","clr_padj","tss_padj","clr_log10","tss_log10","clr_est","tss_est","clr_se","tss_se","direction"
-1,"cent vs mage","4",0.000500753644767285,1.42161052186084e-17,3.30037588098285,16.8472193708181,0.843234872053109,1.84422976275293,0.182820881289352,0.182959224064976,"TSS_more_sig"
-1,"cent vs mage","7",4.57254223884881e-08,4.63839422960386e-15,7.3398422740387,14.333632342273,2.82114911691209,3.81844268932053,0.415519713418663,0.41768371896962,"TSS_more_sig"
-1,"cent vs mage","12",6.56537634615712e-12,3.83551541068101e-05,11.1827403738586,4.4161762679668,-2.73485839018828,-1.71921396639152,0.351930822094772,0.349496106283751,"CLR_more_sig"
-1,"cent vs mage","13",6.20452446805904e-11,0.00266849141337628,10.2072914984218,2.57373419032313,-2.03471722032685,-1.0328937318044,0.276814769713225,0.27690415958963,"CLR_more_sig"
-1,"cent vs mage","14",5.94122439942478e-05,9.17226178351278e-15,4.22612404405633,14.0375235586616,1.34763806751701,2.34356831082847,0.259322413954063,0.259651051100665,"TSS_more_sig"
-1,"cent vs mage","18",9.49177710370887e-10,0.00807834980736934,9.02265246891297,2.09267734501092,-1.96850973960036,-0.964670186881731,0.28795257129523,0.287517248442333,"CLR_more_sig"
-1,"cent vs mage","19",0.0391093471636517,1.00716796493042e-07,1.40771943348766,6.99689809631878,1.1596096050138,2.16136076151483,0.346145767266811,0.344096887273047,"TSS_more_sig"
-1,"cent vs mage","20",0.000153047677593344,8.16856219067882e-14,3.81517325617477,13.0878543801391,1.32291620110712,2.3199644880875,0.268112693394766,0.268639343147145,"TSS_more_sig"
-1,"cent vs mage","21",5.68952067196309e-06,2.97619366588781e-16,5.24492432029914,15.5263388119401,1.50816290419275,2.49569304227816,0.261485719309375,0.260912433552323,"TSS_more_sig"
-1,"cent vs mage","22",0,2.57942224621653e-07,17.8472193708181,6.58847755891223,-2.97085943070747,-1.96466439147705,0.322577729910445,0.322075444857509,"CLR_more_sig"
-1,"cent vs mage","24",6.40114864325893e-07,8.05582151127617e-13,6.19374208778662,12.0938901647889,3.14529069346702,4.13915726071628,0.491238152693319,0.489694607103136,"TSS_more_sig"
-1,"cent vs mage","26",0.000553192079256276,4.90767525400552e-10,3.25712404685614,9.30912418271348,1.72462215311889,2.71612959701884,0.371674683273205,0.373521031253041,"TSS_more_sig"
-1,"cent vs mage","29",5.52079781778518e-10,0.0204509798810136,9.25799815726632,1.68928587852598,-1.76425935610796,-0.761285759525166,0.25358417249512,0.253120157879444,"CLR_more_sig"
-1,"cent vs mage","31",7.61964819469378e-06,0.00924817944578781,5.11806507992422,2.03394375206808,-2.8517785545491,-1.88809708779294,0.567211133722551,0.566121011339633,"CLR_more_sig"
-1,"cent vs mage","32",0.0314025343061425,1.19129835695498e-11,1.50303530126566,10.9239794571973,0.78231381802396,1.78533989516987,0.229297951183669,0.227429165082964,"TSS_more_sig"
-1,"cent vs mage","33",5.07726060023504e-09,0.000872541081762312,8.29437054501779,3.05921411604482,-2.6077706176985,-1.61555282170343,0.395445476209438,0.395326459647332,"CLR_more_sig"
-1,"cent vs mage","35",8.65202576092351e-10,0.00842451753211165,9.06288219614346,2.07445496157133,-1.94742010982572,-0.94674375977052,0.282358676032135,0.282902595611371,"CLR_more_sig"
-1,"cent vs mage","38",6.9302211499587e-09,0.0177097668718477,8.15925290641643,1.75178715574592,-1.89886248263681,-0.902900933057207,0.29102319133618,0.291180719685201,"CLR_more_sig"
-1,"cent vs mage","39",4.10686047678172e-05,2.04791706694359e-11,4.38649005127176,10.6886876346581,2.24459097244793,3.2299513536578,0.41904212887203,0.415728777061093,"TSS_more_sig"
-1,"cent vs mage","42",0.000121136559914604,8.55665334556996e-11,3.91672476376928,10.0676960621624,2.08281817109225,3.11270417521001,0.412179607328767,0.411492410664365,"TSS_more_sig"
-1,"cent vs mage","51",9.80935266495802e-11,4.78812231795452e-06,10.0083596514695,5.31983476358431,-3.11905352794955,-2.15045354184154,0.386265683568909,0.391196074742087,"CLR_more_sig"
-1,"cent vs mage","53",3.9261204328359e-09,0.000226249246994627,8.40603638264894,3.6454128575443,-3.0019954087743,-2.04684575754524,0.442518033286226,0.44599214494668,"CLR_more_sig"
-1,"cent vs mage","56",0.00193091209351495,3.18578410600737e-09,2.7142374974119,8.49678365877551,1.60726357532309,2.62283099529206,0.367395648421955,0.367663933110086,"TSS_more_sig"
-1,"cent vs mage","57",2.90115231206817e-10,1.65825381720839e-05,9.5374294699032,4.7803489943066,-3.36439730163763,-2.40519285558722,0.46085269101232,0.458733705524076,"CLR_more_sig"
-1,"cent vs mage","58",2.99349955865335e-09,0.00317047348701977,8.5238208015485,2.49887587423515,-2.31455043198885,-1.29100381831566,0.340059855441469,0.34391194447599,"CLR_more_sig"
-1,"cent vs mage","63",3.30538894665791e-08,0.00678817421171409,7.48077742953731,2.16824702047704,-2.26587529972013,-1.26372784858536,0.360544236835259,0.361130497883949,"CLR_more_sig"
-1,"cent vs mage","68",7.66737697199346e-10,0.000576338684984635,9.11535318382452,3.23932222874157,-2.44869053203808,-1.48141132256811,0.341547915696845,0.346896850547752,"CLR_more_sig"
-1,"cent vs mage","69",0.0448131302084939,4.6163591443707e-06,1.34859471944789,5.33570041121476,1.30850327076345,2.31612152231508,0.389451155981812,0.39110537153555,"TSS_more_sig"
-1,"cent vs mage","72",3.67930158360549e-10,0.000213096721804405,9.43423461262344,3.67142323124876,-2.78244410937547,-1.77208362831224,0.380324125326234,0.385039918302261,"CLR_more_sig"
-1,"cent vs mage","75",5.18734814876706e-07,0.0110335768386352,6.2850546033628,1.95728367618485,-2.32088734820131,-1.34343180007404,0.403306869909919,0.406501051145195,"CLR_more_sig"
-1,"cent vs mage","77",1.37278688627753e-08,0.0256690727911836,7.86239687812919,1.59058981847095,-1.88521355619719,-0.836852310273321,0.289141391267272,0.283436932708984,"CLR_more_sig"
-1,"cent vs mage","83",1.39778889911441e-05,0.0491642151973688,4.85455841290533,1.30835088903867,-2.38893678419478,-1.3047308437696,0.490731404265214,0.488314940904791,"CLR_more_sig"
-1,"cent vs mage","84",3.77284841298287e-06,0.0177324333883666,5.4233306437064,1.7512316628974,-2.56143219895496,-1.54346987866294,0.490879479522196,0.491220689961866,"CLR_more_sig"
