"constant","comparison","feature","clr_padj","tss_padj","clr_log10","tss_log10","clr_est","tss_est","clr_se","tss_se","direction"
-1,"cent vs mage","7",2.10463541246702e-14,2.42377717548268e-06,13.6768231264637,5.61550730855955,4.11262140373934,2.85922887678931,0.421298761580001,0.416683675474308,"CLR_more_sig"
-1,"cent vs mage","12",0.0248945480717822,1.56529675281597e-08,1.60389575336975,7.80540331569378,-1.43566448108526,-2.68694801158486,0.345408786016381,0.351508798430517,"TSS_more_sig"
-1,"cent vs mage","14",6.56522018281544e-14,0.00751878002221151,13.1827507040637,2.12385262119076,2.62162587487782,1.39259960563071,0.262556991143977,0.260245659024844,"CLR_more_sig"
-1,"cent vs mage","20",1.92605222555226e-13,0.0115886283859867,12.7153319410113,1.93596796348835,2.59944284359788,1.3671785159469,0.264518904386054,0.26836318631067,"CLR_more_sig"
-1,"cent vs mage","21",4.6286674394421e-15,0.00105407293486762,14.3345440212918,2.97712933778129,2.78062396705781,1.54491768349484,0.263953978851348,0.260476488609908,"CLR_more_sig"
-1,"cent vs mage","22",0.00322430797292693,3.3012679806424e-11,2.49156348282387,10.481319220356,-1.68184047495514,-2.91406269264587,0.326862525216938,0.321944685385529,"TSS_more_sig"
-1,"cent vs mage","24",2.13772911298718e-13,5.74368919428987e-06,12.6700473282144,5.24080906891493,4.37675388808813,3.17291778553108,0.479029445643083,0.490892914352716,"CLR_more_sig"
-1,"cent vs mage","26",2.06091767636548e-10,0.00637044382661306,9.68593935582596,2.19583030946459,2.99574077382273,1.77562842844697,0.374127451318719,0.37221173187239,"CLR_more_sig"
-1,"cent vs mage","39",5.22425387418638e-11,0.000559008278275436,10.2819757265494,3.25258176065969,3.5380630554604,2.30035074285267,0.426009247824681,0.41580472860128,"CLR_more_sig"
-1,"cent vs mage","42",1.28303743531874e-10,0.00095731301556047,9.89176067198425,3.01894603640944,3.38632274724741,2.15102392159405,0.413589810904662,0.409621055873071,"CLR_more_sig"
