"constant","comparison","n_all3","n_coeff_side_clr","coeff_clr_slope","coeff_clr_int","coeff_clr_r2","n_clr_side_coeff","clr_coeff_slope","clr_coeff_int","clr_coeff_r2","n_coeff_side_tss","coeff_tss_slope","coeff_tss_int","coeff_tss_r2","n_tss_side_coeff","tss_coeff_slope","tss_coeff_int","tss_coeff_r2"
-1,"cent vs mage",110,85,0.615538259722562,-2.46504244744067,0.872278750856313,25,1.60695869874495,6.22248992216099,0.456886109532138,85,0.700346678496265,-2.09918927445122,0.891349148333226,25,1.36464784282521,4.59084499863481,0.566130012088108
-1,"eld vs kin",158,107,0.36430936373693,0.909247939558884,0.705520367175134,49,1.05259082691924,5.26421413446431,0.87298688703576,108,0.368866427330684,0.929860374998281,0.74863709265838,49,1.06919451856272,4.64246954052892,0.885509622949968
-0.9,"cent vs mage",104,76,0.62635016436896,-2.3175504147316,0.923537585158762,28,1.45503372278447,6.80753391115916,0.475477738275451,76,0.71553945734864,-1.80522842577603,0.94468297374754,28,1.47183824009027,4.07332894418681,0.639279861959915
-0.9,"eld vs kin",156,103,0.54296292502835,-0.192140400969197,0.779561595487397,51,1.12554828408441,4.71300648269826,0.907689912738058,104,0.531986994020838,0.110993287562708,0.858151807735567,51,1.10263160387265,4.21069534113356,0.902206844159613
-0.8,"cent vs mage",120,84,0.676287741989766,-2.22451622143313,0.931967782131601,36,1.60978211938082,4.84876221749723,0.657389854605427,84,0.716993568070417,-1.57907961193952,0.936168111549143,36,1.32807768119092,3.37154059162397,0.771131626399969
-0.8,"eld vs kin",154,100,0.437783632942433,0.654542131716102,0.776057773254975,53,1.16224661932972,4.19456710367692,0.92319749646638,100,0.45710990389551,0.802476041880397,0.80721394150414,53,1.16257545679126,3.39740956745437,0.938312587705027
-0.7,"cent vs mage",117,77,0.638180138848973,-1.76984382420928,0.914644515915172,40,1.41247154910171,4.95664297111294,0.701822063239376,77,0.734218530727314,-1.17385643010738,0.935945793202745,40,1.33874629984789,3.24120311707104,0.837975895498533
-0.7,"eld vs kin",166,105,0.526054350493429,0.425213641522595,0.818126220442543,60,1.07253921723775,3.42710592805844,0.948153133315035,105,0.539851432632942,0.357534185487604,0.845063894955636,60,1.11878218153141,3.01580349625782,0.960866333365787
-0.6,"cent vs mage",130,83,0.682942168558658,-1.57503595117843,0.919112966935092,47,1.48909700011124,4.05369659356435,0.723155608399557,83,0.693391213706086,-0.68970159625945,0.918071887655005,47,1.28295163618771,2.52338464054703,0.781411999211551
-0.6,"eld vs kin",168,101,0.489648407355047,0.731813130584796,0.811028963371151,66,1.14283236392119,2.64042974345641,0.954572943546306,102,0.505453140016486,0.846272081270356,0.787493396903599,65,1.1454515031373,2.19195635726513,0.967179067974882
-0.5,"cent vs mage",131,78,0.670845443937832,-1.20810925636881,0.95212975700275,53,1.35549824353621,3.44947293901536,0.852147843130669,78,0.753096453524982,-0.602584696956273,0.971370504556484,53,1.319964312602,1.46217332665439,0.900220268205392
-0.5,"eld vs kin",173,103,0.616820446522305,0.222071598984952,0.78065476683287,69,1.11441746341449,2.32096850720734,0.957111370309461,103,0.518527626782149,1.07004843438672,0.778409338761541,69,1.0562925716598,1.94904114343293,0.972023473954764
-0.4,"cent vs mage",146,84,0.716518675899642,-1.18868491652512,0.920996907920558,62,1.405277031164,2.8877962631294,0.858421208622242,84,0.736264827165296,-0.17338345254395,0.947498887054902,62,1.19002627125638,1.47616455159771,0.900698314267862
-0.4,"eld vs kin",179,104,0.604362890910963,0.658556758326804,0.827659555888541,74,1.07989883581763,1.89063246443577,0.968862910847942,106,0.728347173742245,-0.0792325717471552,0.846844377800842,72,1.08183863140325,1.66066162597862,0.961595164498736
-0.3,"cent vs mage",148,82,0.78502016810522,-1.13251851472735,0.913534588491882,66,1.31688607849085,2.61282065670271,0.89611755971817,81,0.80995930885486,-0.262429974398164,0.932745051579328,67,1.10711491066362,1.0700467495765,0.961578786274255
-0.3,"eld vs kin",178,99,0.592912339260183,0.732224744579211,0.812385822221295,78,1.11698279680168,1.59918621246073,0.973096131552242,98,0.935350492153964,-0.67157714493085,0.975335252353882,78,1.08390713656194,1.03237709260508,0.980586018169915
-0.2,"cent vs mage",149,80,0.754449254668822,-0.756558832665514,0.94141362400001,69,1.25093755519082,2.2111839693662,0.874090405030086,83,0.842156003459147,0.00692599007850268,0.945374670969942,66,1.13018876956972,0.663756762360233,0.968690784535941
-0.2,"eld vs kin",185,102,0.763622941404681,0.154628305639636,0.867030887484808,82,1.15117186437784,0.764709886239097,0.975629427774251,99,0.616081826184703,0.966599126324396,0.829345956378425,85,1.083701733351,0.449559728573466,0.986209197532096
-0.1,"cent vs mage",154,81,0.804732438891039,-0.650054047139619,0.952426033854042,73,1.13991156999912,1.75985417427028,0.939465905237752,81,0.841435636871631,0.181424614822435,0.964670440610416,73,1.06454260167776,0.520836801325872,0.985386478213453
-0.1,"eld vs kin",193,103,0.937203509463353,-0.276008684616091,0.987051050132121,89,1.03133250846591,0.584457181834627,0.990007787480135,106,0.91548809747008,-0.154854530752624,0.991470753756657,86,1.04176569786088,0.371727447092902,0.993910529228451
0,"cent vs mage",159,79,0.871328029337095,-0.586129290879702,0.965576613063525,80,1.11819732791659,1.25967679772048,0.959542168928582,89,0.975561463322815,-0.138579140571787,0.993045337336828,70,1.04713712604794,0.196486059132461,0.976529434649374
0,"eld vs kin",198,96,0.951540101764884,-0.207898909802282,0.994000637145952,100,1.02619006866226,0.292931950414333,0.996216029571994,130,0.821612433564518,0.524247175635751,0.894707272303665,67,1.06944079265725,0.0588469216556893,0.995002101953797
0.1,"cent vs mage",165,87,0.947275814775602,-0.477498344493371,0.981861439619146,78,1.08691212744758,0.984035736269906,0.967667068922611,83,0.955988891027575,-0.304067071003189,0.982405227308956,82,1.05671436800228,0.254706174130777,0.968006031722412
0.1,"eld vs kin",192,54,0.946503256063297,-0.178216032935814,0.993043067564664,137,1.03805027870645,0.304040063067065,0.991904494120673,90,0.950971416215065,-0.293158345787437,0.995246418878692,101,1.13311414957398,0.085483122116035,0.82869973368559
0.2,"cent vs mage",163,77,0.936387460374696,-0.162670894203687,0.987373570629474,86,1.06177159812086,0.398033340658496,0.977971345944911,82,0.879134240704352,-0.583512081485495,0.976863068845007,81,1.08111117318208,0.531802951994477,0.971756037165718
0.2,"eld vs kin",194,73,0.941755597844795,-0.22125488888085,0.991197958576992,120,1.02076142336095,0.505504494703649,0.981894641552789,98,0.901489696238289,-0.248321683281016,0.989926345689275,95,1.00210610013367,0.665976437749212,0.99072824753868
0.3,"cent vs mage",163,70,0.913187897326303,-0.00814439619033121,0.988519979304313,93,1.02567658178523,0.393368658977339,0.981910070588226,81,0.860212991303124,-0.483409268736491,0.976539362567107,82,1.05718821657818,0.691540823920799,0.975444092421339
0.3,"eld vs kin",181,92,0.927894905785139,-0.635662045920034,0.988520706435206,88,1.04880644694234,0.713099644205226,0.980943213584306,97,0.90987068292388,-0.739647347557716,0.989438525659683,83,1.24342307443135,0.469129147545302,0.764849452642789
0.4,"cent vs mage",154,73,0.937064102017429,-0.163889973276527,0.984853293759066,81,1.0480506435187,0.241424885044639,0.984973196824655,78,0.792241522710603,-0.650282425268198,0.94560351809115,76,1.10110328047421,1.12414643030769,0.954114250700609
0.4,"eld vs kin",167,91,0.924341437185907,-0.65974942482193,0.985513563605599,75,1.16250733793826,0.825915476253667,0.939435520084248,94,0.8910676396538,-0.967963565501506,0.985728187736571,72,1.08303093604121,1.19457354799735,0.935882136105007
0.5,"cent vs mage",138,77,0.844883010900279,0.0865764089616738,0.97470227547508,61,1.05557403629236,0.707666261057348,0.948041123485672,82,0.692059673621349,-0.772878021254914,0.924242025509523,56,1.11545898847867,1.99838100919209,0.944535883803565
