"taxon","estimate_gamma","std_error_gamma","pval_gamma","pval_adj_gamma","estimate_no_gamma","pval_adj_no_gamma","comparison"
"1",1.3909716148474,0.248637524049741,0.00226197975620158,0.00226197975620158,1.37673888432102,9.44553121589909e-07,"pup vs you"
"2",2.1250485387032,0.22973507632975,1.37968949514999e-08,1.37968949514999e-08,2.10979022683372,3.08079955808178e-16,"pup vs you"
"3",5.94139834526817,0.403758931583987,2.96083904741874e-28,2.96083904741874e-28,5.9205366965421,7.34862478136925e-34,"pup vs you"
"4",-3.44675660874912,0.189891147869364,0,0,-3.46203757963625,0,"pup vs you"
"5",2.9976820421072,0.325827653650469,1.31069318394789e-10,1.31069318394789e-10,2.99765364419745,6.84778093618637e-16,"pup vs you"
"6",-3.01978413839577,0.227202578411383,0,0,-3.03339065445335,0,"pup vs you"
"7",-5.74294928093292,0.307193869721501,0,0,-5.75205029950201,0,"pup vs you"
"8",-3.63165639662404,0.328631479982849,6.45895374222031e-16,6.45895374222031e-16,-3.65530508312425,0,"pup vs you"
"9",-0.627972803338732,0.203979407968515,0.22396581749651,0.22396581749651,-0.643977747632722,0.0120663320147249,"pup vs you"
"10",4.48030899274437,0.435940279936054,1.9584954937155e-15,1.9584954937155e-15,4.47173411043125,2.13482244754256e-18,"pup vs you"
"11",-4.55624829288995,0.258640359963523,0,0,-4.58072182204451,0,"pup vs you"
"12",3.28607490188141,0.344115420932581,3.34985958688865e-12,3.34985958688865e-12,3.26291758678061,4.03713226184647e-17,"pup vs you"
"13",1.32822403850221,0.229214406131878,0.00305892809675043,0.00305892809675043,1.31190448338516,3.68193794787379e-07,"pup vs you"
"14",-3.91093538731694,0.251745132434765,0,0,-3.92929122397809,0,"pup vs you"
"15",-2.45199583429169,0.353997356803273,8.61880592896394e-07,8.61880592896394e-07,-2.46778832350229,3.97080816194025e-10,"pup vs you"
"16",-4.09690287116797,0.249100225849796,0,0,-4.1105016170736,0,"pup vs you"
"17",-1.65756859859064,0.466027490493086,0.035290822236538,0.035290822236538,-1.71939686607895,0.00671184379769838,"pup vs you"
"18",1.51079731395977,0.243151138887388,0.00062646650027961,0.00062646650027961,1.49361791349408,4.10891645343473e-08,"pup vs you"
"19",-3.01354627628268,0.335096796408012,8.2283144914525e-11,8.2283144914525e-11,-3.03170461007559,1.35377864662179e-15,"pup vs you"
