"taxon","estimate","std_error","pval_adj"
"0",-0.00413209610203598,0.002472559437536,0.484375656152241
"1",-0.00675767177753574,0.0017264739768873,0.484375252103961
"2",0.00990068702032173,0.0033244640911772,0.484375000000067
"3",-0.0320263231428423,0.00173401283566933,0.5
"4",0.0137246487135618,0.00287183355258078,0.471419108465718
"5",-0.0205033801636239,0.00213496730325812,0.500000000338502
"6",-0.0794276103719896,0.00335452291517479,0.42187500249174
"7",-0.03343902615347,0.00273968667532012,0.500000002240345
"8",-0.0338678445037946,0.00197155683701442,0.500000000000001
"9",-0.025926414272858,0.00343965379193714,0.501205992571953
"10",-0.0412311349816355,0.00262008682090014,0.485337274061042
"11",0.00269952068375247,0.00265899851336685,0.484375000015971
"12",-0.0151502438282536,0.00189150166098201,0.493718837677835
"13",-0.0413292034568328,0.00217968364138061,0.482457677697937
"14",-0.014293723493228,0.00262750702895564,0.493864742572243
"15",-0.0305041377589252,0.00207227219936345,0.500000000381204
"16",-0.0100785996045401,0.00375597670415653,0.48692917162598
"17",-0.00956611098811172,0.00186725889971095,0.484519613771311
"18",-0.0389730733615607,0.0026593817738128,0.496137775625407
"19",-0.0265600069886083,0.00203452908188125,0.500003913558294
"20",-0.0469718918873618,0.00227085685119359,0.461174878531682
"21",0.00589634621892314,0.0023641879750133,0.484375
"22",-0.0346073262162271,0.00208421729281913,0.500000000000002
"23",-0.0373600840889547,0.00378066534369473,0.50000021724698
"24",-0.0303138241076195,0.00281520810951599,0.500001644748239
"25",-0.0403359313487655,0.00283737215207237,0.487905492334142
"27",-0.0250791215307957,0.00244154941625536,0.500026547754904
"28",-0.0313596827919957,0.00377739239854594,0.500143532670932
"29",-0.012532116615453,0.00214504566061678,0.488802145111262
"30",-0.0255946816398597,0.00202706882885436,0.500005202134751
"31",-0.0105492750961922,0.00401501048981799,0.488257813083822
"32",-0.0313134524292061,0.00196136951335905,0.50000000000383
"33",0.0115688643073846,0.00316689784825716,0.478697599449064
"34",-0.0130022134023088,0.002618296783832,0.49154913569907
"35",-0.00430301137829218,0.00225301970540477,0.484375358549956
"36",-0.0246322177962784,0.00184217573310387,0.500000271029176
"37",-0.0300105191815836,0.00256099024304981,0.500000211539027
"38",-0.00264117269182102,0.00214310991160518,0.484375001325981
"39",-0.0411770707809826,0.00353383893402471,0.4898597421761
"40",-0.0188368527798839,0.00337410501084477,0.500003118660967
"41",0.0167048344046691,0.00366755812591312,0.46943430053325
"42",-0.0446978106080833,0.00308520446116778,0.478969667831556
"43",-0.0036460577637044,0.00311382801587161,0.484381752787131
"44",-0.0161650042157263,0.00223955954817829,0.498565500757667
"45",-0.004384073074626,0.00391590597003537,0.484590831282038
"46",-0.0104271157480391,0.00260112254521333,0.486445877755151
