"constant","comparison","feature","coeff_padj","clr_padj","tss_padj","coeff_log10","clr_log10","tss_log10","coeff_est","clr_est","tss_est","coeff_se","clr_se","tss_se"
-1,"cent vs mage","7",0.000803576853860222,4.65688990748364e-13,2.08935801947431e-10,3.09497258111437,12.3319040290068,9.67998713562534,2.87987374707931,4.20634313928168,3.91548331110988,0.413271252965814,0.419465226913638,0.415167465068234
-1,"cent vs mage","24",0.000441319088104075,7.07622500702311e-12,1.27722326650068e-08,3.35524728787348,11.1501983660174,7.89373317874767,3.22324215606693,4.56477502946581,4.224385104289,0.494413817194731,0.481535260984487,0.494038593479142
-1,"cent vs mage","39",0.0401432047593157,3.11939535559642e-09,7.73271156915205e-07,1.39638795935902,8.50592957879442,6.11166818874369,2.31225829065404,3.61160254170243,3.34387947354827,0.417321603015479,0.423600707509866,0.418230910457281
-1,"cent vs mage","51",3.71335758208027e-07,0.0412099928762707,0.0423453809738719,6.43023322786868,1.38499746054934,1.3731939555095,-3.03816344177557,-1.79439540055807,-2.01836329519965,0.387838781672424,0.376075138394625,0.384890247280633
-1,"cent vs mage","57",2.02511225036723e-06,0.0370204560607339,0.0454360054552758,5.69355089918315,1.43155823540915,1.34259985698427,-3.21812647050804,-1.9419147408113,-2.2033991722199,0.452941395196655,0.422954344281914,0.451624506490287
-1,"cent vs mage","100",1.75106534703839e-06,0.0119508008901634,0.025480167968368,5.75669764641877,1.9226029892327,1.59379771340518,-3.87519038230822,-2.58848561609257,-2.86835121351972,0.566065232873639,0.556480791387377,0.563741909649415
-1,"cent vs mage","114",2.7126375440422e-13,4.41477180710124e-08,5.19920295378188e-06,12.5666082317225,7.35509173953328,5.28406322930864,-4.93233784321688,-3.7190406221749,-3.86030340739119,0.488443490154143,0.470817404041249,0.48286208320946
-1,"cent vs mage","132",0,5.57459121225401e-10,4.23768764303926e-08,15.7127165710593,9.2537869741581,7.37287105798479,-5.63036294113075,-4.29771913620894,-4.48370897002281,0.492567885679589,0.476318184467719,0.48221465001673
-1,"cent vs mage","143",0,8.96390962012994e-09,9.64784578395018e-08,15.7127165710593,8.04750253094964,7.01556964713124,-5.0482792990901,-3.80348250302159,-4.18070156221607,0.44283091310448,0.450135555884765,0.457241863144723
-1,"cent vs mage","146",4.6347288249084e-07,0.0403841342245597,0.0471311954964602,6.33397567107529,1.39378922330702,1.326691544095,-3.20831645122929,-1.89031942897201,-2.21468600774242,0.430388898755883,0.395172156255328,0.424247403537015
-1,"cent vs mage","148",1.20604088121859e-07,0.00323449568230493,0.0176457952006186,6.918637970648,2.49019342425835,1.75335876555796,-3.97522429025251,-2.6522888972318,-2.86525779751619,0.5070649262477,0.476844289707271,0.492784457017332
-1,"cent vs mage","169",1.37025873116164e-08,0.00212710542604848,0.0318876785196824,7.86319742196276,2.67221098456063,1.49637709702517,-3.62227522418065,-2.3531468339574,-2.58534332230638,0.436767499415348,0.413384476773612,0.439588618723804
-1,"cent vs mage","210",0,2.1249007053914e-08,2.02916790153126e-09,15.7127165710593,7.67266135931162,8.69268201620389,-5.61176323224503,-4.26725403735,-4.48468790684195,0.460776276086791,0.461426040064656,0.461700550598078
-1,"cent vs mage","219",1.93768612266609e-15,2.71051613051979e-08,3.24812871282311e-06,14.7127165710593,7.56694800385105,5.48836676940584,-5.15384535336341,-3.67205359691962,-3.99785841903237,0.471285245755564,0.4611478231711,0.458927441936582
-1,"cent vs mage","289",5.28723188880137e-08,0.0214560343947873,0.0333593216281767,7.27677164177602,1.6684505433024,1.47678278945321,-3.79056579764143,-2.3391878540597,-2.62201989090646,0.491771150202975,0.468223220528685,0.483188984791712
-1,"cent vs mage","353",3.26669274743438e-12,0.000684104886057495,2.65954513482402e-05,11.4858917116736,3.16487730771866,4.57519263492088,-4.50913472360563,-3.14215469770019,-3.49355615033653,0.45598188395701,0.451779605340604,0.450819864901386
-1,"cent vs mage","464",2.46591475244238e-05,0.0460081106642954,0.0406658061905768,4.60802194119682,1.33716560079124,1.39077061348683,-3.39415389649092,-2.05458908903209,-2.29003266738733,0.475215645287564,0.469412655519285,0.473031553809349
-1,"cent vs mage","531",7.11917892553127e-06,0.0444552141781795,0.042896968598644,5.14757009185097,1.35207729305138,1.367573397032,-3.26647756959819,-2.10863620886009,-2.36928825840674,0.466816764230952,0.451178202556723,0.4734794423257
-1,"cent vs mage","675",8.27785086477994e-10,0.000238293694984633,0.000549751091504162,9.0820824021907,3.62288744850376,3.25983389969566,-4.16023984432974,-2.87596418955989,-3.16636801636235,0.471952018745884,0.459550522298177,0.474868861736067
-1,"cent vs mage","770",1.28262664651147e-09,0.00706050016066467,0.0193901110081576,8.89189974187654,2.15116453275516,1.71241970458337,-3.33697214560827,-2.02413222711065,-2.33797541070561,0.350652584461256,0.325240329153554,0.355185240745968
-1,"cent vs mage","849",6.27867354711085e-07,0.0480579565335108,0.0439696216650731,6.20213209702989,1.31823469972204,1.35684727123447,-3.13413516036436,-1.79895243996433,-2.0931286207864,0.424133737786015,0.379215174836516,0.415537649978082
-1,"cent vs mage","917",6.74460403949787e-07,0.0112864896606273,0.0361211585147727,6.1710435416939,1.94744111193454,1.44223832899795,-3.63950499694093,-2.26517174910391,-2.62898249141907,0.505143857539085,0.465020588708201,0.503365971741154
-1,"cent vs mage","921",4.39208854470981e-15,8.08221412134288e-09,1.47007365344465e-06,14.3573289130727,8.09246964801786,5.8326609057394,-5.0938261198699,-3.7675033991234,-4.04594220578002,0.477209528240708,0.466722651071283,0.474373028274414
-1,"cent vs mage","1004",9.42672835655276e-08,0.0157382556126196,0.0226158384911798,7.02563900749903,1.80304340538204,1.64558730597944,-3.72873317962612,-2.38585261051976,-2.57023323971965,0.461594876410202,0.460983135889565,0.462821371411472
-1,"cent vs mage","1019",4.35006843707828e-12,8.51204236043221e-05,0.0136372168366535,11.361503910491,4.06996622376423,1.86527425400621,-3.91750152566776,-2.53590534910879,-2.82190444715031,0.394382631117097,0.383233636692456,0.39063622427903
-1,"cent vs mage","1058",6.51748950858041e-10,0.000863890254785475,0.0173286935605111,9.18591965925734,3.06354142507705,1.76123417824675,-3.9679659550143,-2.56090071196271,-2.85389774429823,0.454132297877553,0.459853321447016,0.457424384158311
-1,"cent vs mage","1079",7.27323760358683e-08,0.0374854173162536,0.0366860907356763,7.13827222457746,1.42613764989357,1.43549856413334,-3.31103295408572,-1.97213792346136,-2.28128201643789,0.417266534251692,0.396264079318574,0.424193786396562
-1,"cent vs mage","1087",0.0483910990547996,1.40620509496274e-07,6.40357791435643e-05,1.31523451411757,6.85195133286191,4.19357730191,2.57694845154806,3.92643710629748,3.63703952482886,0.496066323458257,0.481279027775238,0.503306470294595
-1,"cent vs mage","1098",0.00038866064893232,2.35394321990065e-13,5.53355431239376e-11,3.41042942853951,12.6282040171006,10.2569958230524,3.26197542002415,4.54756669962312,4.2859020579823,0.445242494560307,0.443931115460538,0.449651381019471
