"constant","comparison","n_all3","n_coeff_side_clr","coeff_clr_slope","coeff_clr_int","coeff_clr_r2","n_clr_side_coeff","clr_coeff_slope","clr_coeff_int","clr_coeff_r2","n_coeff_side_tss","coeff_tss_slope","coeff_tss_int","coeff_tss_r2","n_tss_side_coeff","tss_coeff_slope","tss_coeff_int","tss_coeff_r2"
-1,"cent vs eld",37,35,0.381172183543755,-0.461458560463676,0.705433145807712,2,2.48062516971596,1.8131491443376,1,35,0.62693028877813,-0.988977258519761,0.837815895411245,2,4.03233482217463,-0.895219912122383,1
-1,"cent vs kin",139,111,0.190574960623638,1.58123323125688,0.650488008099779,28,1.20736819515494,7.92776596970637,0.91704448665773,111,0.195504311654134,2.29009214737881,0.618051296143369,28,1.20945917080623,6.36156764587907,0.932578159220499
-1,"cent vs mage",82,66,0.756660659438566,-3.39929309424176,0.792229550828243,16,1.01407459330836,5.01304138419853,0.681548674256392,66,0.908919444765182,-3.76596330584117,0.857643692707188,16,1.20433157431023,4.55810974261674,0.72001202201555
-1,"cent vs mid",95,63,0.176354527169225,1.26403449946391,0.757062539922909,31,1.04474528056645,12.9594100190909,0.780899859746991,63,0.188736351949311,1.242179504328,0.768598216781956,31,1.20182850470019,9.13937330286633,0.866457470368849
-1,"cent vs pup",176,135,0.0705938038364638,1.56467532165698,0.556243609620708,39,1.14308820787357,15.3087954439362,0.883882082460661,133,0.0953962324737891,3.89660345668729,0.619645882395946,39,1.10158046575758,9.96315011724183,0.93666455690621
-1,"cent vs you",144,119,0.355052829912684,-0.895542641035578,0.712367959272616,20,1.43606201983911,7.62234885897722,0.81951675443123,114,0.408547504825454,0.556985217906374,0.810095642363502,20,1.20076717989542,4.08722254469266,0.864925395091758
-1,"eld vs kin",130,94,0.440408564114361,0.398607894998226,0.70999016495237,35,1.07687302433024,4.59665258510482,0.937329742373553,94,0.486085739647509,0.107969438649262,0.769582099698595,35,1.08294940891077,3.42801461627695,0.950681937291329
-1,"eld vs mage",30,17,0.268373392058111,0.294713861857693,0.42803551034665,13,0.827106867306475,6.34020693207635,0.495084054849377,17,0.426440307102948,0.0253808072775626,0.590620564689975,13,0.834978797024653,5.06699597291815,0.513175660937968
-1,"eld vs mid",66,31,0.471126522859538,-0.546149179454809,0.946297922633911,35,0.940164127138919,7.12671385628749,0.786023652485712,31,0.428006854186574,-0.515115823491633,0.946351152301463,35,0.938603670880843,6.74997471986364,0.813474151701556
-1,"eld vs pup",151,98,0.275995410563958,0.543219405905534,0.797406186587118,50,1.08224317523738,8.68684278581806,0.841809459488734,96,0.302374568732936,1.89064971506335,0.802128265010786,50,1.05946665688915,3.62827111298557,0.972790687138041
-1,"eld vs you",15,15,0.228769509186958,-0.106759534128967,0.466403531351131,0,NA,NA,NA,15,0.428544686992851,0.0674586117000126,0.716396703198926,0,NA,NA,NA
-1,"kin vs mage",28,28,0.456522383728384,-0.954424236788716,0.669558806293616,0,NA,NA,NA,28,0.520781884415752,-0.860843412782943,0.701999080648833,0,NA,NA,NA
-1,"kin vs mid",19,13,0.639256193308514,-2.53266338354497,0.658186184539847,6,0.991437952615624,4.2373982540177,0.85351192392181,13,0.649778401350676,-2.72707981136351,0.620588068476597,6,1.60052797431596,3.99109990069524,0.866043834170137
-1,"kin vs pup",6,5,-0.618940880207003,8.47506516929846,0.354292419776958,1,NA,NA,NA,5,-0.731004664669892,10.6600877168457,0.462898488385451,1,NA,NA,NA
-1,"kin vs you",148,102,0.653706883853891,-2.70397683836737,0.778324908354044,28,1.45509847571341,4.95254937086102,0.913823991683468,94,0.680311048820031,-1.35701220512179,0.844239450689629,28,1.41050681374111,3.84824259074083,0.932178033742709
-1,"mage vs mid",3,2,2.12867534574778,-11.8787341000385,1,1,NA,NA,NA,2,1.79904663566228,-9.32769244537205,1,1,NA,NA,NA
-1,"mage vs pup",41,38,0.297824173649261,0.83807050409814,0.840756915523282,3,1.09251561110242,8.74704937747017,0.969162073666066,38,0.291328428710074,1.47392555432748,0.82079598032891,3,0.977222003080598,6.01505135377989,0.97728106823714
-1,"mage vs you",118,107,0.769987831318243,-1.51933851796439,0.892129517531148,5,0.818256237120468,4.70646212928524,0.389044320997788,104,0.838648301199651,-1.26935024427231,0.933719928351454,5,1.19140651880485,3.90766812005072,0.623601798473522
-1,"mid vs pup",106,103,0.253869172877207,0.458354037415715,0.665454508896731,3,1.29025121537982,6.06299303111252,0.998234098854988,103,0.277566636505619,0.699830794624268,0.72471964705172,3,1.11026921863831,5.5836294353601,0.991024284246512
-1,"mid vs you",169,135,0.7979428473154,-3.33371659900704,0.805810235512034,15,1.43757707525166,4.16173855232051,0.330049815079991,123,0.843689084817891,-2.38744700657385,0.878732516840338,15,1.50606814830674,3.22617711597019,0.395617607621888
-1,"pup vs you",215,98,0.397223135970803,1.89192876608011,0.801579646099321,68,1.2067474984993,2.94352380109663,0.937677378534675,109,0.360834615828027,0.845142054889861,0.786523194709516,68,1.15082490258781,4.02873776519587,0.922449827524201
-0.9,"cent vs eld",39,36,0.514910721029564,-1.14405145309972,0.785450669863653,3,1.55298555649425,2.33777998324718,0.732218308954434,36,0.600810142629125,-1.00657051392231,0.827775143318008,3,2.01728677248566,2.20868666759838,0.875787525938832
-0.9,"cent vs kin",143,102,0.174619443858768,1.60440418451246,0.599614115277727,41,1.20173947477209,6.23167185174597,0.934717864130811,102,0.198536793554536,2.61334303559572,0.600455985553712,41,1.14674861199267,3.7582863703771,0.968640728455427
-0.9,"cent vs mage",83,67,0.735104611857944,-2.81885707412524,0.84850672494597,16,1.09521249219651,6.71809410220135,0.564034248569237,67,0.800282259707042,-2.45150702390219,0.850045655235565,16,1.05401167369368,4.71692564908951,0.560497071129148
-0.9,"cent vs mid",84,47,0.154993306620709,0.648768356590595,0.798115414569711,37,1.08712720492789,8.56756551135173,0.888400056448924,46,0.211710315052254,2.56091051850494,0.790153566944292,37,1.11177163635775,5.99620967381862,0.925412697473382
-0.9,"cent vs pup",190,145,0.102895438699525,1.95121472500433,0.640891609852079,42,1.08483785077775,14.2167173743768,0.884515223362075,143,0.121250568679359,4.48717425084564,0.631294477810187,42,1.05260480259719,6.35276740572526,0.956401040125247
-0.9,"cent vs you",138,110,0.367767802023527,-0.792230405464347,0.778839049627472,24,1.33643324279334,6.50604746845618,0.882546427830558,106,0.454793296685967,0.6815901443673,0.81926365589068,25,1.2814863581606,2.29262527261314,0.931774737493988
