"constant","comparison","feature","coeff_padj","clr_padj","tss_padj","coeff_log10","clr_log10","tss_log10","coeff_est","clr_est","tss_est","coeff_se","clr_se","tss_se"
-1,"cent vs eld","10",0.00463951888780334,2.50175579265501e-08,3.05954974145042e-09,2.33352705289457,7.60175508596098,8.51434248175093,2.43400360491951,3.52011161448081,3.39720787522278,0.417243721478828,0.429528376539752,0.418120706438792
-1,"cent vs eld","22",1.3211833454743e-09,0.0154313021111579,0.000228593878229852,8.87903690955994,1.81159742611888,3.6409354042408,-2.75363609316865,-1.69414410061177,-1.80489355225303,0.323247848584207,0.315565166272076,0.323731567693035
-1,"cent vs eld","24",0.021337266013665,1.10171798081812e-06,1.43796394876652e-06,1.67086122836257,5.95792956251632,5.84225200202548,2.49566427827608,3.56947619756559,3.46208857357883,0.505995866302351,0.516728595701211,0.508328540389588
-1,"cent vs eld","29",1.42122818143816e-12,0.00148660842153447,7.55690164534602e-06,11.8473361895012,2.82780341127773,5.12165623017887,-2.8521378427182,-1.79669572455314,-1.89456076768494,0.282241873224482,0.273784672700976,0.281715193878047
-1,"cent vs eld","31",4.84677978612977e-08,0.00156574512242603,0.00011846121190003,7.31454671203736,2.80527893252894,3.92642382868644,-3.67757751747804,-2.72476942201855,-2.73715810541453,0.501350442603998,0.509950345551917,0.509588501812667
-1,"cent vs eld","41",1.41956971491596e-06,0.0132302759624082,0.00166380250915321,5.84784327445912,1.87843109702934,2.77889822508563,-3.32044426025078,-2.25870978341939,-2.44378663173477,0.516486070217715,0.52682304468673,0.533333061935232
-1,"cent vs eld","58",6.4690548283104e-07,0.0413333650299821,0.00351428768030234,6.18915916799203,1.38369923651692,2.45416268995114,-2.67058639283137,-1.6128608150473,-1.72493795023114,0.377819971167523,0.357633641810537,0.377953913856389
-1,"cent vs eld","74",7.13489972154571e-06,0.0248882556682065,0.0027152094663887,5.14661212635948,1.60400554052355,2.5661966608863,-3.08190845100031,-2.07118711569902,-2.11972421747555,0.490719764726517,0.479377174335494,0.477142764268283
-1,"cent vs eld","77",4.96726871789599e-09,0.010066229654406,0.000216421824094992,8.3038823450294,1.99713316568302,3.66469894686434,-2.87336641992361,-1.82615568872821,-1.96197018082126,0.352642791196833,0.33993880818857,0.366757975921636
-1,"cent vs eld","89",1.16493689694686e-12,1.31416162966545e-05,1.88980058943247e-07,11.9336975991444,4.8813512173067,6.72358401988924,-4.33272657283382,-3.19058204404815,-3.2556524368385,0.452858438500348,0.441935244018241,0.44082498283956
-1,"cent vs eld","103",5.77430464554496e-13,7.87453275183006e-06,3.91984604674626e-08,12.238500306983,5.10377520634117,7.40673098970443,-4.09873373340521,-3.03007614647936,-3.13184744050392,0.426282111375849,0.410858764897005,0.423134808244596
-1,"cent vs eld","114",8.65953127280473e-07,0.0175347837555563,0.00205691793861341,6.06250561504312,1.75609958560499,2.6867830342743,-3.16569608306835,-2.11142342343207,-2.23898379690469,0.484096150233337,0.452581644168113,0.496937401918606
-1,"cent vs eld","122",1.28424488092058e-06,0.0491775160538578,0.00878436868389879,5.8913521567248,1.30823341116758,2.05628944497701,-2.6812223890635,-1.57255352611922,-1.66322396212768,0.404360008186332,0.387651738126325,0.392026323977357
-1,"cent vs eld","124",1.02095571741168e-08,0.00040299761866055,2.72919747917739e-05,7.9909930944467,3.39469752012598,4.56396503852794,-3.59448754079246,-2.49939758110532,-2.63840206878439,0.440898921039791,0.427618053797519,0.433204825100446
-1,"cent vs eld","132",3.20228998841476e-12,0.000132881856793212,1.11834270839962e-07,11.4945393424149,3.87653431200299,6.951425089509,-4.39232911117156,-3.47310804375915,-3.54397751433056,0.48249902430221,0.495110006641965,0.496031042530831
-1,"cent vs eld","138",5.39146725724404e-07,0.0379110473316467,0.0032524344808956,6.2682930279471,1.42123421757642,2.48779144338193,-2.89244212119375,-1.81993175679512,-1.94097519563715,0.426143036792008,0.426088922200634,0.426598084211203
-1,"cent vs eld","143",1.09219025784213e-08,0.00290274746854515,0.000163316872373568,7.96170170161871,2.53719074501154,3.78696894569679,-3.57486028107459,-2.48921116325393,-2.6007406674544,0.479497358258131,0.467908896609799,0.476454931571926
-1,"cent vs eld","199",7.70899149194513e-06,0.0107297007924237,0.0036515515620564,5.11300243363923,1.96941238856631,2.43752256248564,-3.19288814444489,-2.21697402043109,-2.21617190795175,0.475242218607713,0.475400631484066,0.475074941072742
-1,"cent vs eld","210",1.8540421163034e-10,0.000488896445451023,5.66898856210172e-07,9.7318804046735,3.31078312028703,6.24649441925195,-4.37300312693736,-3.15375193128728,-3.20365432560263,0.494514596531886,0.473565027922032,0.488640797360687
