"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","n_sig_coeff","n_sig_clr","n_sig_tss","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
-1,"cent vs eld",0.111111111111111,37,255,40,1,784,292,77,95,0.807815177738734,0.116085678194825,0.109814583363011,1.0740855558614,0.343518310117132,0.335442333913679,0.492024798135136,0.657980484883046,0.961962538062143,1.13507357373236,1.06705473320884,0.12567777553742
-1,"cent vs kin",0.245583038869258,139,346,81,0,551,485,220,232,1.12551227290286,0.194254907693318,0.216744568509108,1.19160634082511,0.472572817734168,0.52243644756393,0.545547993158411,0.615462279999484,0.986169462898825,2.29893154974388,2.04715791420985,0.326829519253332
-1,"cent vs mage",0.118155619596542,82,547,65,0,423,629,147,165,1.44854849793955,0.167573040001075,0.242196432510596,1.35830262095248,0.476184292008185,0.568258217530042,0.409773982134177,0.578471847199356,0.970586701417456,1.93749493033992,1.73599690965172,0.243197097642548
-1,"cent vs mid",0.109195402298851,95,658,117,0,247,753,216,181,1.91015870356596,0.241710557921599,0.352847550284552,1.52412116023693,0.525641683459299,0.635972212029468,0.439008399544132,0.528682654159405,0.982918302201565,2.78092692271767,2.41921186536261,0.431576071478693
-1,"cent vs pup",0.17564870259481,176,744,82,0,115,920,258,376,3.14909643693551,0.309822900761124,0.758943431994285,1.76781940347793,0.56403042249539,0.891883343167833,0.373166833612252,0.577304626358988,0.896853318878653,5.63853292533072,4.40116127031904,1.30131206197246
-1,"cent vs you",0.187012987012987,144,543,83,0,347,687,227,272,1.62133798847874,0.256598440922922,0.298081643834102,1.32370899109356,0.510951568164423,0.576864541213724,0.576251482247513,0.84150881203811,0.875183015465815,3.10005719645612,2.35505354488883,0.856901906647431
-1,"eld vs kin",0.3601108033241,130,184,46,1,756,314,179,186,0.721230443416679,0.136200968112727,0.13315380671521,1.06687635290944,0.442609802170859,0.442907723902292,0.773078633853987,0.811930492822625,0.991622042686065,1.27606506818517,1.19600241271842,0.143348667163926
-1,"eld vs mage",0.09375,30,253,37,0,797,283,67,67,0.906147999602892,0.0910806664343545,0.170005281437061,1.22401348570071,0.35406472564633,0.512087549268944,0.326899573615004,0.505054341593799,0.97159792584594,1.13715965430595,0.969534890912621,0.183742439789476
-1,"eld vs mid",0.119349005424955,66,406,78,3,564,472,148,136,1.18295382074926,0.154417014118956,0.172404627417308,1.35422621942169,0.49084095829716,0.503951364495263,0.603715979094075,0.607496970187054,0.996044269112818,1.56181789573143,1.52252100931416,0.104059999486483
-1,"eld vs pup",0.168526785714286,151,658,87,0,221,809,238,286,1.86705010965101,0.199051520270822,0.517612866819296,1.64937433994425,0.527975754696043,0.859961519514811,0.622475630890925,0.80988296957776,0.916990198253925,2.99951265126106,2.11042739346458,0.922256759164911
-1,"eld vs you",0.0413223140495868,15,334,14,0,754,349,29,56,0.913745931269856,0.150311627594048,0.0934259860957273,1.15550602282776,0.45625969650299,0.29686915551994,0.400549597423525,0.879447085226545,0.735447618418898,1.30380679754626,1.1805149730341,0.245383859871677
-1,"kin vs mage",0.0848484848484849,28,262,40,0,787,290,68,72,0.981870111472465,0.0956013047365593,0.134802412445031,1.2829268221677,0.327463311826762,0.428239869818401,0.404786257272261,0.679062393094647,0.929697299725396,1.20311562848294,1.09262276355993,0.136699814433534
-1,"kin vs mid",0.0329289428076256,19,463,84,11,540,482,108,114,1.1921875990883,0.171303805082115,0.15100969588887,1.36122789427588,0.478754690917733,0.43255502325279,0.299756937862218,0.204195989778342,0.9796924186653,1.36295559319421,1.46177251878175,0.124876715965989
-1,"kin vs pup",0.00837988826815642,6,681,29,0,401,687,35,24,1.46062294201552,0.111101255805396,0.307880219398697,1.52456903738982,0.302979339673466,0.582877033825191,0.220074534240177,0.545745757778908,0.9067577543559,1.52225810307725,1.29631784773606,0.269142720131225
-1,"kin vs you",0.291338582677165,148,299,61,0,609,447,209,233,1.1349230571722,0.161853338355391,0.16223549870951,1.31951806423296,0.409085682973256,0.426486178652394,0.777351221358069,0.879200075656838,0.971303300019124,1.98190808934988,1.63228507629016,0.426813232061379
-1,"mage vs mid",0.0147783251231527,3,145,51,4,914,148,57,54,0.739089140409962,0.0935932530300738,0.101684420425335,1.10063355466416,0.326992156843564,0.322495654921399,0.113986113698982,0.0433018416774217,0.986509526267719,0.852346051899798,0.858453860910037,0.0647569063875446
-1,"mage vs pup",0.0626911314984709,41,551,62,0,463,592,103,104,1.33869390077806,0.101446015105307,0.237503265829222,1.41531380693916,0.319235430928704,0.490306056043965,0.559686785202694,0.700923745572533,0.966748133507057,1.82392295260492,1.58205500583886,0.300633249069123
-1,"mage vs you",0.402730375426621,118,113,61,1,824,231,180,182,0.545179429851849,0.161226221405009,0.112318130001918,0.893535154562533,0.449709013474748,0.393162125632197,0.872341861662213,0.916567859251581,0.987264880388578,0.982558154080028,0.87470852401625,0.180363322813052
-1,"mid vs pup",0.166405023547881,106,483,48,0,480,589,154,153,1.3441796057132,0.115313752004664,0.161902631779813,1.28099619723605,0.329044099366816,0.353593199525841,0.589223549890181,0.755539099617108,0.956170056251222,2.16877028055874,1.98755650896575,0.218858207996892
-1,"mid vs you",0.424623115577889,169,195,34,0,719,364,203,239,0.611428310296577,0.309920454281984,0.173050602104671,0.879700147638103,0.641039627051255,0.467557668109095,0.856865315450875,0.928758532315288,0.977903914569662,1.47708038363151,1.17937785082822,0.429572080770279
-1,"pup vs you",0.570291777188329,215,91,52,19,740,306,289,284,0.345182379559668,0.300170550890087,0.392189363304827,0.573931851672508,0.573403179425186,0.661835711242163,0.928009266488741,0.869038269061833,0.966272862223348,1.22752517441755,1.66336912061808,0.523621562775534
-0.9,"cent vs eld",0.126623376623377,39,226,41,2,809,265,81,94,0.733374991722226,0.128672363489938,0.104616098656481,0.976870621875907,0.360469751542042,0.342745262119975,0.529607804858763,0.640890885880034,0.976925785075549,1.06756044534593,1.01268883025181,0.13443870629522
-0.9,"cent vs kin",0.286573146292585,143,284,72,0,618,427,215,231,0.920122090704298,0.197273820870331,0.214850739547576,1.02499575636451,0.47087289205622,0.509011855483781,0.578820336977309,0.697864920505841,0.968739951895412,2.03445288419269,1.64926284212647,0.431838668910505
-0.9,"cent vs mage",0.126911314984709,83,498,73,0,463,581,156,173,1.33492099906785,0.155420498085187,0.297041045568216,1.35365759528527,0.469251753118838,0.612708232664033,0.372577482221806,0.637764242953477,0.939274752598524,1.8537110731076,1.50497893095575,0.384099186783356
-0.9,"cent vs mid",0.123711340206186,84,503,92,0,438,587,176,212,1.35744520615165,0.231922241424216,0.375989842494674,1.35196245170752,0.507426199485583,0.663309232305944,0.492944711519513,0.708204883488298,0.919708915598263,2.10781641213937,1.58897086772995,0.564821853641446
-0.9,"cent vs pup",0.201698513800425,190,661,91,0,175,851,281,403,2.31517049416561,0.306950618923898,0.864654203316173,1.62483228482504,0.569318137070386,0.930820596216705,0.49889133436427,0.700623442088107,0.880476001421305,4.32564756911141,2.81630139988348,1.58177941577368
-0.9,"cent vs you",0.24,138,358,79,0,542,496,217,263,1.17095044827102,0.245117977705018,0.283068502812032,1.14529934245964,0.508561180728177,0.555718671825449,0.609427879158022,0.873662031916345,0.873466184849008,2.43212878678523,1.72878479556315,0.780129904052858
-0.9,"eld vs kin",0.440625,141,141,38,0,797,282,179,196,0.587355911003607,0.126852321224876,0.139165685192543,0.930978965068985,0.431096033140839,0.440299995568296,0.819551351787868,0.895038489592305,0.968009960933645,1.082643850468,0.892967039737727,0.241518933987655
-0.9,"eld vs mage",0.0493421052631579,15,249,40,0,813,264,55,48,0.868839136015267,0.0948716215756818,0.15837146021242,1.24771800724938,0.333834497606709,0.481602676662638,0.229271407853284,0.456730902023114,0.9537834676393,1.11760548348615,0.936673604467655,0.196118424946229
-0.9,"eld vs mid",0.190860215053763,71,217,84,0,745,288,155,135,0.902530700565758,0.144905250674594,0.221483908793142,1.243601026021,0.479722171038879,0.594753374910619,0.681420808718145,0.77429728196196,0.985942381664999,1.27647425473639,1.03088448658498,0.264477070438056
-0.9,"eld vs pup",0.186206896551724,135,498,92,0,392,633,227,290,1.40517301101216,0.181915007264513,0.462889007345621,1.51751176166658,0.50767601963814,0.78772199768773,0.594017160612819,0.754268177566637,0.911170660073532,2.63880874363155,1.9097853890376,0.815198136172151
-0.9,"eld vs you",0.0791139240506329,25,281,10,0,801,306,35,53,0.778100496925962,0.132709158048423,0.136486772770102,1.02484262125056,0.382326879863985,0.337430605986071,0.630396748382214,0.9106419859005,0.856169918749628,1.10219355893447,0.979090877673603,0.191166722967733
-0.9,"kin vs mage",0.125581395348837,27,144,44,0,902,171,71,72,0.723098812878571,0.0927371343951269,0.148741946743841,1.08971024670022,0.325928158941271,0.453013333767051,0.462134280844851,0.767912820989069,0.909701212890946,0.885867613001455,0.749760355112343,0.155826572639743
-0.9,"kin vs mid",0.100671140939597,30,189,78,1,819,219,108,113,0.965026387301191,0.187398856343304,0.207915708574869,1.26299428833523,0.496163855810095,0.536555667492296,0.400786079748536,0.494824707653818,0.985347629272308,1.0521397837079,0.995013830171551,0.0884905357862618
