"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","n_sig_coeff","n_sig_clr","n_sig_tss","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
-1,"cent vs eld",0.135238095238095,71,391,63,0,592,462,135,124,1.15059490182695,0.0616151506395854,0.0643426779035769,1.11043743863348,0.344920920911705,0.330773246932267,0.513228067283737,0.612353143335198,0.985289105106561,1.6636529870428,1.58996017974315,0.110141361965108
-1,"cent vs kin",0.25531914893617,180,434,91,0,412,614,272,273,1.44971952412713,0.16707664474187,0.204439110146041,1.16958123470025,0.480853538096303,0.514611342545073,0.55081824340442,0.605691249676097,0.923795383287908,3.04389813512301,2.78517979891997,0.400128387224346
-1,"cent vs mage",0.127733026467204,111,665,93,0,248,776,204,232,1.74978104403662,0.112088464079306,0.263862611964559,1.39151633467849,0.460420421229673,0.576791810887581,0.306022548579543,0.569961999283578,0.943475201697709,2.60900495624023,2.16177056588914,0.494507710058116
-1,"cent vs mid",0.150922909880565,139,675,107,0,196,814,246,269,2.2504271389645,0.233314741472448,0.357747344440129,1.4475503922108,0.537852835339235,0.614291056237622,0.511415518515492,0.623831487050322,0.963228027585073,3.16846405244219,2.77486539555695,0.449982904780333
-1,"cent vs pup",0.207351555136664,220,738,103,0,56,958,332,462,3.72877924183344,0.287308889355023,0.959542920200175,1.74486513909793,0.558633091196188,0.858069365905321,0.395665487063614,0.608545468614836,0.851298752179098,7.153230231818,5.3964600104187,1.88385488003715
-1,"cent vs you",0.21058434399118,191,621,95,0,210,812,290,318,2.00080641820942,0.236978936800014,0.288565180867889,1.28813232560553,0.499136706351265,0.528388516475824,0.629492926097624,0.811465633671854,0.913968489364059,3.6361850725993,2.90626667458575,0.863019635311426
-1,"eld vs kin",0.351893095768374,158,230,61,0,668,388,222,214,0.874382653261139,0.09225476200778,0.0911955353895495,1.0828999539817,0.423419614160855,0.433234778532068,0.719154909228684,0.723635590505766,0.982001642801258,1.65930521244484,1.60741797053025,0.152166081016184
-1,"eld vs mage",0.0769230769230769,38,398,58,0,623,436,96,93,1.1452530559158,0.0410562539658887,0.104787474638114,1.30695739983474,0.336888327956882,0.439230866359166,0.264523985129394,0.426317434470414,0.978922679556618,1.5272077221021,1.34303330477235,0.205705779610925
-1,"eld vs mid",0.125560538116592,84,496,89,0,448,580,173,167,1.33756819104196,0.136918270097719,0.183319997342814,1.37675009677667,0.508369828433458,0.558404776234151,0.63367875881609,0.683548548571891,0.993068226490319,1.75729981478592,1.63318228858012,0.163424710456524
-1,"eld vs pup",0.181438998957247,174,691,94,0,158,865,269,332,2.0503395373114,0.159729851005197,0.537380919789897,1.63724017301231,0.529285027042059,0.800907680657453,0.594297990504419,0.75144978163611,0.915224083977794,3.56978560795617,2.63726368448135,1.02215146205408
-1,"eld vs you",0.0972222222222222,49,433,22,0,613,482,71,106,1.1272460121043,0.0568616912919311,0.0704822725118069,1.1641679909039,0.356246904134034,0.311812621464242,0.614892536200447,0.873641858840681,0.895290352808281,1.6354916379432,1.45954293958272,0.233882826032489
-1,"kin vs mage",0.09375,45,377,58,0,637,422,103,100,1.15198403754729,0.0539221096824675,0.091399077421527,1.26622867605997,0.334329103986267,0.407802820016982,0.429589710800841,0.63063975361444,0.961915882673058,1.5016617745697,1.38820013000367,0.135003658969598
-1,"kin vs mid",0.0758226037195994,53,557,88,1,418,610,142,139,1.37983819974443,0.153164243972072,0.162837847313369,1.3400332381967,0.488521755985991,0.507382165514987,0.281516675603409,0.32994234371053,0.994348204778117,1.72970324355198,1.68703265076029,0.079116636174489
-1,"kin vs pup",0.0146596858638743,14,891,50,0,162,905,74,80,2.10515958248344,0.0464688476809067,0.358583423011928,1.57360015657796,0.266429642594408,0.604790915932333,0.172047285238337,0.6818574712698,0.751745676231158,2.39423067429976,1.98244813887526,0.510252962342961
-1,"kin vs you",0.33456561922366,181,283,77,0,576,464,258,265,1.1605281807695,0.114949823809516,0.111989617690435,1.14243455320905,0.409322161506028,0.400335381323537,0.810730268038977,0.874064267851795,0.985600255057244,2.19853095203267,1.90337048830869,0.351476742786116
-1,"mage vs mid",0.054421768707483,16,202,64,12,823,218,85,92,0.820393385566212,0.0655951261143638,0.0413477490768219,1.05342871740404,0.368680659621529,0.317810887381819,0.271431778677646,0.123188165835446,0.980528917296689,1.06404907437605,1.13525196225587,0.102307153608438
-1,"mage vs pup",0.092896174863388,68,584,80,0,385,652,151,142,1.43383704628203,0.0620796177650005,0.156645532882667,1.32151977738582,0.329652862421473,0.432080718176881,0.512719673209733,0.773363308473523,0.859371172672034,2.05612236733219,1.72016090114235,0.389754276901032
-1,"mage vs you",0.358208955223881,144,190,67,1,715,334,211,212,0.671146417477573,0.117003878496111,0.0859818988676909,0.894173015897219,0.447963530339931,0.403814240934213,0.830379752231694,0.862073994418356,0.992012185526851,1.40384202413847,1.34384211208174,0.152791452937042
-1,"mid vs pup",0.141451414514145,115,627,71,0,304,742,190,235,1.62616124949889,0.100204789155253,0.156714088621723,1.25718121350788,0.361430703669033,0.378960621148066,0.406143188392057,0.737791594364356,0.881298431671182,2.94625853619871,2.44304559694627,0.586802397202133
-1,"mid vs you",0.420944558521561,205,224,58,0,630,429,263,261,0.806115423439839,0.341916654238524,0.153940286099348,0.905006091200258,0.654153020059593,0.483124730240541,0.839725186547191,0.898581272841865,0.987012768276141,1.7487578589826,1.54784141777331,0.377387549985112
-1,"pup vs you",0.511627906976744,242,127,69,35,644,369,327,346,0.438005424109557,0.263778454675301,0.471079583081966,0.635149803044893,0.53913705679606,0.674725621328154,0.905409804153633,0.865699583885726,0.981494614354806,1.73412923492216,2.12296724583834,0.513827873974072
-0.9,"cent vs eld",0.163934426229508,70,299,58,0,690,369,129,124,0.965024588784999,0.0627743284051668,0.0642116986164603,1.01234958635561,0.340058748541353,0.352997208214343,0.546566074937509,0.655961564013123,0.984338909752684,1.47246421885781,1.38917320207854,0.111494142035545
-0.9,"cent vs kin",0.294685990338164,183,351,87,0,496,534,271,275,1.24690365650336,0.158999207131275,0.205955471410658,1.07582995218868,0.467574739970197,0.522073005416445,0.591910649956247,0.67198350354118,0.955708123184562,2.68779174641056,2.37328153356205,0.376848828993489
-0.9,"cent vs mage",0.156330749354005,121,566,87,0,343,687,208,225,1.55530764218412,0.113885367611665,0.271715704936789,1.30535398509086,0.461197115631123,0.583105577528144,0.370606502575472,0.608810844278069,0.952365745917298,2.34088838537749,1.89778379336649,0.487834746367669
-0.9,"cent vs mid",0.171037628278221,150,626,101,0,240,776,251,272,1.99565225171477,0.236387540512846,0.359118986986048,1.35854457082212,0.53533104550012,0.623866457305926,0.569756967391803,0.675525409883111,0.960050299577582,2.80716686061674,2.41655174897932,0.450721305647363
-0.9,"cent vs pup",0.222222222222222,230,705,100,0,82,935,338,470,3.3559772228435,0.307584430280825,0.989720852682766,1.63314277471455,0.564747633810587,0.87827685931919,0.426114136788379,0.66600908366141,0.814335093265736,6.3409542276601,4.48119811977956,1.9710100765498
